Date,Non indexées,Dans l'index,Impressions
2026-01-30,,,7
2026-01-31,8,1,8
2026-02-01,8,1,5
2026-02-02,8,1,10
2026-02-03,8,1,13
2026-02-04,8,1,11
2026-02-05,8,1,5
2026-02-06,8,1,7
2026-02-07,8,1,15
2026-02-08,2378,40,10
2026-02-09,2378,40,17
2026-02-10,2378,40,31
2026-02-11,2339,94,42
2026-02-12,2339,94,46
2026-02-13,2339,94,94
2026-02-14,2339,94,80
2026-02-15,398,100,70
2026-02-16,398,100,81
2026-02-17,398,100,81
2026-02-18,1915,284,295
2026-02-19,1915,284,408
2026-02-20,1915,284,244
2026-02-21,1915,284,638
2026-02-22,2086,9312,3806
2026-02-23,2086,9312,7827
2026-02-24,2086,9312,11083
2026-02-25,13324,33976,15243
2026-02-26,13324,33976,15038
2026-02-27,13324,33976,12426
2026-02-28,13324,33976,9314
2026-03-01,13324,33976,7996
2026-03-02,13324,33976,14862
2026-03-03,13324,33976,17657
2026-03-04,15304,47713,17685
2026-03-05,15304,47713,21780
2026-03-06,15304,47713,16390
2026-03-07,15304,47713,10798
2026-03-08,60034,54586,8561
2026-03-09,60034,54586,9459
2026-03-10,60034,54586,9226
2026-03-11,136234,68661,8501
2026-03-12,136234,68661,9124
2026-03-13,136234,68661,8343
2026-03-14,136234,68661,9270
2026-03-15,136234,68661,11097
2026-03-16,197275,122662,18552
2026-03-17,197275,122662,28062
2026-03-18,194083,133064,37927
2026-03-19,194083,133064,38245
2026-03-20,194083,133064,38929
2026-03-21,194083,133064,29600
2026-03-22,156943,137186,30756
2026-03-23,156943,137186,33320
2026-03-24,156943,137186,24910
2026-03-25,497165,202271,22536
2026-03-26,497165,202271,24660
2026-03-27,497165,202271,24407
2026-03-28,497165,202271,21164
2026-03-29,541245,278661,26024
2026-03-30,541245,278661,33378
2026-03-31,541245,278661,31766
2026-04-01,572564,290288,35272
2026-04-02,572564,290288,26553
2026-04-03,572564,290288,22836
2026-04-04,572564,290288,16538
2026-04-05,570498,292989,19752
2026-04-06,570498,292989,17919
2026-04-07,542585,348214,23278
2026-04-08,542585,348214,24749
2026-04-09,542585,348214,27469
2026-04-10,542585,348214,27294
2026-04-11,457960,459003,28097
2026-04-12,457960,459003,33383
2026-04-13,457960,459003,33280
2026-04-14,462710,456197,30777
2026-04-15,462710,456197,25041
2026-04-16,462710,456197,20603
2026-04-17,462710,456197,18258
2026-04-18,502907,447405,14855
2026-04-19,502907,447405,15784
2026-04-20,502907,447405,20141
2026-04-21,464839,396032,20781
2026-04-22,464839,396032,23563
2026-04-23,464839,396032,33018
2026-04-24,464839,396032,20470
2026-04-25,523316,367127,12756
2026-04-26,523316,367127,13687
2026-04-27,523316,367127,16065
