Raison,Source,Validation,Pages
"Exclue par la balise ""noindex""",Site Web,Échec,46421
Erreur serveur (5xx),Site Web,Non commencé,12890
Page avec redirection,Site Web,Non commencé,1286
Autre page avec balise canonique correcte,Site Web,Non commencé,393
Bloquée par le fichier robots.txt,Site Web,Non commencé,187
Introuvable (404),Site Web,Non commencé,163
Soft 404,Site Web,Non commencé,6
Page en double sans URL canonique sélectionnée par l'utilisateur,Site Web,Non commencé,1
"Détectée, actuellement non indexée",Systèmes Google,Non commencé,347566
"Explorée, actuellement non indexée",Systèmes Google,Non commencé,112429
Page en double : Google n'a pas choisi la même URL canonique que l'utilisateur,Systèmes Google,Non commencé,1974
