nom,email,telephone,adresse,code_insee,site_web
Agence départementale d'information sur le logement (ADIL) - Loire-Atlantique - Nantes,contact@adil44.fr,"[{""valeur"": ""02 40 89 30 15"", ""description"": ""tapez 2""}]","[{""type_adresse"": ""Adresse"", ""complement1"": ""Maison de l'habitant"", ""complement2"": """", ""numero_voie"": ""12 rue du Président-Herriot"", ""service_distribution"": """", ""code_postal"": ""44000"", ""nom_commune"": ""Nantes"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""-1.560205"", ""latitude"": ""47.219109""}]",44109,"[{""libelle"": """", ""valeur"": ""https://www.adil44.fr/""}]"
Agence départementale d'information sur le logement (ADIL) - Allier - Moulins,contact@adil03.org,"[{""valeur"": ""04 70 20 44 10"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""27 rue de Villars"", ""service_distribution"": """", ""code_postal"": ""03000"", ""nom_commune"": ""Moulins"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""3.336482"", ""latitude"": ""46.561176""}]",03190,"[{""libelle"": """", ""valeur"": ""https://www.adil03.org/""}]"
Agence départementale d'information sur le logement (ADIL) - Ille-et-Vilaine,contact@adil35.org,"[{""valeur"": ""02 99 78 27 27"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""22 rue Poullain-Duparc"", ""service_distribution"": """", ""code_postal"": ""35000"", ""nom_commune"": ""Rennes"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""-1.681239"", ""latitude"": ""48.1086006""}]",35238,"[{""libelle"": """", ""valeur"": ""https://www.adil35.org/""}]"
Agence départementale d'information sur le logement (ADIL) - Allier - Vichy,contact@adil03.org,"[{""valeur"": ""04 70 98 18 45"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": ""Maison de l'habitat"", ""complement2"": """", ""numero_voie"": ""9 place Charles-de-Gaulle"", ""service_distribution"": """", ""code_postal"": ""03200"", ""nom_commune"": ""Vichy"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""3.42632"", ""latitude"": ""46.1246""}]",03310,"[{""libelle"": """", ""valeur"": ""https://www.adil03.org""}]"
Agence départementale d'information sur le logement (ADIL) - Seine-Saint-Denis,adil93@adil93.com,"[{""valeur"": ""01 48 51 17 45"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""6-8 rue Gaston-Lauriau"", ""service_distribution"": """", ""code_postal"": ""93100"", ""nom_commune"": ""Montreuil"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""2.4439901"", ""latitude"": ""48.8606143""}]",93048,"[{""libelle"": """", ""valeur"": ""https://www.adil93.org""}]"
Agence départementale d'information sur le logement (ADIL) - Saône-et-Loire - Mâcon,adil71@adil71.org,"[{""valeur"": ""03 85 39 30 70"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""94 rue de Lyon"", ""service_distribution"": """", ""code_postal"": ""71000"", ""nom_commune"": ""Mâcon"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""4.820733"", ""latitude"": ""46.297136""}]",71270,"[{""libelle"": """", ""valeur"": ""https://www.adil71.org""}]"
Agence départementale d'information sur le logement (ADIL) - Lot,adildulot@gmail.com,"[{""valeur"": ""05 65 35 25 41"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""64 boulevard Gambetta"", ""service_distribution"": """", ""code_postal"": ""46000"", ""nom_commune"": ""Cahors"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""1.44200003147"", ""latitude"": ""44.4435005188""}]",46042,"[{""libelle"": """", ""valeur"": ""https://www.adil46.org/""}]"
Agence d'information sur le logement de Corse - antenne de Bastia,adil2b@orange.fr,"[{""valeur"": ""04 95 58 15 32"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""4 rue de l'Annonciade"", ""service_distribution"": """", ""code_postal"": ""20200"", ""nom_commune"": ""Bastia"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""9.448906"", ""latitude"": ""42.703208""}]",2B033,"[{""libelle"": """", ""valeur"": ""https://www.adil2b.org/""}]"
Agence départementale d'information sur le logement (ADIL) - Réunion,courrier@adil974.com,"[{""valeur"": ""02 62 41 14 24"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""24 rue Henri-Vavasseur"", ""service_distribution"": """", ""code_postal"": ""97400"", ""nom_commune"": ""Saint-Denis"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""55.4593516"", ""latitude"": ""-20.8805974""}]",97411,"[{""libelle"": """", ""valeur"": ""https://www.adil974.com/""}]"
Agence départementale d'information sur le logement (ADIL) - Seine-Maritime - Rouen,contactadil@adil76.org,"[{""valeur"": ""02 35 72 58 50"", ""description"": ""L'accueil téléphonique se fait du lundi au vendredi de 08h30 à 13h00.""}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""216 boulevard de Strasbourg"", ""service_distribution"": """", ""code_postal"": ""76600"", ""nom_commune"": ""Le Havre"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""1.078898"", ""latitude"": ""49.431899""}]",76540,"[{""libelle"": """", ""valeur"": ""https://adil76.org/""}]"
