nom,email,telephone,adresse,code_insee,site_web
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Aisne",info@caue02.com,"[{""valeur"": ""03 23 79 00 03"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""34 rue Sérurier"", ""service_distribution"": """", ""code_postal"": ""02000"", ""nom_commune"": ""Laon"", ""pays"": """", ""continent"": """", ""longitude"": ""3.623731"", ""latitude"": ""49.564865""}]",02408,"[{""libelle"": """", ""valeur"": ""https://www.caue02.com/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Creuse",caue23@caue23.fr,"[{""valeur"": ""05 44 30 27 56"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""1 avenue Jean-Baptiste-Defumade"", ""service_distribution"": """", ""code_postal"": ""23320"", ""nom_commune"": ""Saint-Vaury"", ""pays"": """", ""continent"": """", ""longitude"": ""1.866912"", ""latitude"": ""46.172044""}]",23096,"[{""libelle"": """", ""valeur"": ""https://www.caue23.fr/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Seine-et-Marne",accueil@caue77.fr,"[{""valeur"": ""01 64 03 30 62"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""27 rue du Marché"", ""service_distribution"": """", ""code_postal"": ""77120"", ""nom_commune"": ""Coulommiers"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""3.083558"", ""latitude"": ""48.814056""}]",77131,"[{""libelle"": """", ""valeur"": ""https://www.caue77.fr/""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-d-ile-de-france/caue-de-seine-et-marne/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Lozère",cauelozere@wanadoo.fr,"[{""valeur"": ""04 66 49 06 55"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""16 boulevard Britexte"", ""service_distribution"": """", ""code_postal"": ""48000"", ""nom_commune"": ""Mende"", ""pays"": """", ""continent"": """", ""longitude"": ""3.502929"", ""latitude"": ""44.5177""}]",48095,"[{""libelle"": """", ""valeur"": ""https://www.les-caue-occitanie.fr/lozere""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Calvados",contact@caue14.fr,"[{""valeur"": ""02 31 15 59 60"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""28 rue Jean Eudes"", ""service_distribution"": """", ""code_postal"": ""14000"", ""nom_commune"": ""Caen"", ""pays"": """", ""continent"": """", ""longitude"": ""-0.365524"", ""latitude"": ""49.18117""}]",14118,"[{""libelle"": """", ""valeur"": ""http://www.caue14.fr""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-de-normandie/caue-du-calvados/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Corrèze",caue.19@wanadoo.fr,"[{""valeur"": ""05 55 26 06 48"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""45 quai Aristide Briand"", ""service_distribution"": """", ""code_postal"": ""19000"", ""nom_commune"": ""Tulle"", ""pays"": """", ""continent"": """", ""longitude"": ""1.773141"", ""latitude"": ""45.268846""}]",19272,"[{""libelle"": """", ""valeur"": ""https://www.caue19.fr/news/""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-de-nouvelle-aquitaine/caue-de-la-correze/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Alsace - Site de Strasbourg",info@caue-alsace.com;caue@caue-alsace.com,"[{""valeur"": ""03 88 15 02 30\n"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""5 rue Hannong"", ""service_distribution"": """", ""code_postal"": ""67000"", ""nom_commune"": ""Strasbourg"", ""pays"": """", ""continent"": """", ""longitude"": ""7.742976"", ""latitude"": ""48.583573""}]",67482,"[{""libelle"": """", ""valeur"": ""https://www.caue-alsace.com/""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-du-grand-est/caue-d-alsace/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Indre",contact@caue36.fr,"[{""valeur"": ""09 77 97 36 02"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": ""Cité Administrative"", ""complement2"": """", ""numero_voie"": ""49 boulevard George-Sand"", ""service_distribution"": """", ""code_postal"": ""36000"", ""nom_commune"": ""Châteauroux"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""1.70392"", ""latitude"": ""46.8107""}]",36044,"[{""libelle"": """", ""valeur"": ""https://caue36.fr/""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-du-centre-val-de-loire/caue-de-l-indre/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Loir-et-Cher",contact@caue41.fr,"[{""valeur"": ""02 54 51 56 50"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": ""Porte C"", ""complement2"": ""Cité administrative"", ""numero_voie"": ""34 avenue du Maréchal-Maunoury"", ""service_distribution"": """", ""code_postal"": ""41000"", ""nom_commune"": ""Blois"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""1.33733"", ""latitude"": ""47.5924""}]",41018,"[{""libelle"": """", ""valeur"": ""https://www.caue41.fr/le-caue-de-loir-et-cher-un-lieu-de-conseils-et-dechanges/""}]"
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Somme",caue80@caue80.asso.fr,"[{""valeur"": ""03 22 91 11 65"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""35 mail Albert-1er"", ""service_distribution"": """", ""code_postal"": ""80000"", ""nom_commune"": ""Amiens"", ""pays"": """", ""continent"": """", ""longitude"": ""2.299014"", ""latitude"": ""49.889123""}]",80021,"[{""libelle"": """", ""valeur"": ""https://www.caue80.fr/""}, {""libelle"": """", ""valeur"": ""https://www.fncaue.com/caue-et-urcaue-des-hauts-de-france/caue-de-la-somme/""}]"
