"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
70,https://servicesartisans.fr/,Artisans de France — 970 326+ Pros Vérifiés,text/html; charset=utf-8,false,200,0,true,2,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
35,https://servicesartisans.fr/blog/comment-installer-prise-electrique,Installer Prise Électrique : Guide Sécurité | ServicesArtisans,text/html; charset=utf-8,false,200,2,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/canalisation-bouchee-urgence,Canalisation Bouchée : Solutions DIY + Prix Plombier | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/villes/brest,Brest (29) — Annuaire artisans 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/cities.xml,2
20,https://servicesartisans.fr/blog/prix-electricien-montpellier-2026,Prix Électricien Montpellier 2026 — Tarifs et Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/comment-choisir-demenageur-guide,Choisir son Déménageur 2026 : Guide Anti-Arnaques | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/comment-installer-wc-suspendu,Installer WC Suspendu : Guide Complet DIY | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/prix-electricien-strasbourg-2026,Prix Électricien Strasbourg 2026 — Tarifs et Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/peinture-interieure-conseils,Peinture Intérieure 2026 : Conseils de pros | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/services/terrassier,Terrassier : Artisans Vérifiés + Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
20,https://servicesartisans.fr/blog/entretien-annuel-maison-checklist-complete,Entretien Maison : checklist annuelle 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,true,0,true,https://servicesartisans.fr/image-sitemap.xmlhttps://servicesartisans.fr/sitemap/static.xml,2
