"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,SERP title,Is page title used in SERP,Top keyword,Top keyword country,Top keyword position
70,https://servicesartisans.fr/,Artisans de France — 970 326+ Pros Vérifiés,text/html; charset=utf-8,false,200,0,ServicesArtisans: Artisans de France — 969 880+ Pros Vérifiés,false,artisans de france,FR,12
50,https://servicesartisans.fr/guides/maprimerenov-2026,"MaPrimeRénov 2026 : Montants, Conditions et Guide | ServicesArtisans",text/html; charset=utf-8,false,200,4,"MaPrimeRénov 2026 : Montants, Conditions et Guide",false,ma prime renov 2026,FR,26
35,https://servicesartisans.fr/services/serrurier/paimpol,Serrurier à Paimpol — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,2,Serrurier Paimpol (2026) — Devis gratuit,false,serrurier paimpol,FR,12
35,https://servicesartisans.fr/blog/comment-installer-prise-electrique,Installer Prise Électrique : Guide Sécurité | ServicesArtisans,text/html; charset=utf-8,false,200,2,Installer une Prise Électrique : Guide et Sécurité,false,installation prise,FR,5
28,https://servicesartisans.fr/services/serrurier/la-ferte-bernard,Serrurier à La Ferté-Bernard — Artisans 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,1,Serrurier à La Ferté-Bernard — Artisans…,false,serrurier la ferte bernard,FR,11
28,https://servicesartisans.fr/services/serrurier/mont-saint-aignan,Serrurier Mont-Saint-Aignan 2026 — Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,1,Serrurier Mont-Saint-Aignan (2026) —… | ServicesArtisans,false,serrurier mont saint aignan,FR,11
28,https://servicesartisans.fr/questions/prix-pose-carrelage-m2,Quel est le prix de la pose de carrelage au m² ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,1,Quel est le prix de la pose de carrelage au m² ?,false,prix carrelage m2,FR,17
20,https://servicesartisans.fr/questions/prix-cuisine-equipee-pose,Quel budget pour une cuisine équipée avec pose ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,Quel budget pour une cuisine équipée avec pose,false,prix pose cuisine,FR,28
20,https://servicesartisans.fr/tarifs/architecte-interieur,Prix Architecte d'intérieur 2026 : combien prévoir ?… | ServicesArtisans,text/html; charset=utf-8,false,200,0,Guide des tarifs architecte d'intérieur en 2026 - ServicesArtisans,false,cout architecte d'intérieur,FR,44
20,https://servicesartisans.fr/services/serrurier/saint-herblain,Serrurier Saint-Herblain (44) — Devis 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,Serrurier Saint-Herblain — Devis,false,serrurier a saint-herblain,FR,5
20,https://servicesartisans.fr/blog/diagnostic-immobilier-obligatoire-liste,Diagnostics Immobiliers 2026 : Liste | ServicesArtisans,text/html; charset=utf-8,false,200,0,Diagnostics immobiliers obligatoires : la liste complète,false,diagnostic immobilier obligatoire 2021,US,10
20,https://servicesartisans.fr/services/serrurier/fayence,Serrurier Fayence 2026 — Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,0,Serrurier Fayence (2026) — 3 vérifiés,false,serrurier fayence,FR,12
20,https://servicesartisans.fr/services/plombier/gonesse,Plombier à Gonesse — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,Plombier Gonesse (2026) — Devis gratuit,false,plombier gonesse,FR,53
20,https://servicesartisans.fr/blog/guide-fenetre-double-vitrage,Fenêtres Double Vitrage 2026 : Prix et Aides | ServicesArtisans,text/html; charset=utf-8,false,200,0,"Fenêtres Double Vitrage : Prix, Types et Aides 2026",false,fenetres double vitrage,FR,23
20,https://servicesartisans.fr/services/serrurier/frejus,Serrurier Fréjus (83) — Devis 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,Serrurier Fréjus — Devis,false,serrurier a fréjus,FR,3
20,https://servicesartisans.fr/services/serrurier/saint-brieuc,Serrurier à Saint-Brieuc : 7 Pros + Devis | ServicesArtisans,text/html; charset=utf-8,false,200,0,Serrurier à Saint-Brieuc — Devis Gratuit,false,serrurier saint brieuc,FR,26
20,https://servicesartisans.fr/guides/normes-electriques,Norme NF C 15-100 : Guide Électricité Maison | ServicesArtisans,text/html; charset=utf-8,false,200,0,Normes Électriques NF C 15-100 : Guide pour les Particuliers,false,norme électrique 2022,FR,5
20,https://servicesartisans.fr/urgence/electricien,Dépannage électricien urgent — 24h/24 | ServicesArtisans,text/html; charset=utf-8,false,200,0,Dépannage électricien urgent — 24h/24 - Urgence,false,électricien dépannage urgent,FR,5
20,https://servicesartisans.fr/tarifs/deratisation,Prix Dératisation 2026 : combien prévoir ? 80–300€ | ServicesArtisans,text/html; charset=utf-8,false,200,0,Prix dératisation 2026 — Guide complet - ServicesArtisans,false,deratisation prix,FR,65
