"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of content words,Meta description,H1,Is indexable page
70,https://servicesartisans.fr/,Artisans de France — 970 326+ Pros Vérifiés,text/html; charset=utf-8,false,200,0,0,7,"Trouvez un artisan qualifié parmi 970 326+ professionnels vérifiés SIREN. Plombier, électricien, serrurier : 101 départements couverts. Devis gratuit.",,true
50,https://servicesartisans.fr/guides/maprimerenov-2026,"MaPrimeRénov 2026 : Montants, Conditions et Guide | ServicesArtisans",text/html; charset=utf-8,false,200,4,0,9,"Guide complet MaPrimeRénov 2026 : montants jusqu'à 70 000 €, conditions d'éligibilité, barèmes de revenus, parcours accompagné et par geste. Tout pour obtenir votre aide à la rénovation énergétique.",,true
35,https://servicesartisans.fr/services/serrurier/paimpol,Serrurier à Paimpol — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,2,0,9,Paimpol (22) : 2 serruriers vérifiés. Prix : 80€–150€. Devis gratuit.,,true
35,https://servicesartisans.fr/blog/comment-installer-prise-electrique,Installer Prise Électrique : Guide Sécurité | ServicesArtisans,text/html; charset=utf-8,false,200,2,0,8,Apprenez à installer une prise électrique en sécurité : norme NF C 15-100 et précautions. Tutoriel DIY. Devis électricien si besoin.,,true
28,https://servicesartisans.fr/services/serrurier/la-ferte-bernard,Serrurier à La Ferté-Bernard — Artisans 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,9,"Serrurier à La Ferté-Bernard (72) : artisans vérifiés SIREN, 80€–150€. Devis gratuit.",,true
28,https://servicesartisans.fr/services/serrurier/mont-saint-aignan,Serrurier Mont-Saint-Aignan 2026 — Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,8,"Mont-Saint-Aignan (Seine-Maritime) : trouvez un serrurier de confiance, 80€–150€. Devis gratuit.",,true
28,https://servicesartisans.fr/questions/prix-pose-carrelage-m2,Quel est le prix de la pose de carrelage au m² ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,17,"La pose de carrelage coûte entre 30 et 70 € par m² pour la main-d'œuvre seule, hors fourniture. Le carrelage varie de 15 à 100 €/m². Au total, comptez 50 à 150 €/m² pose et fourniture comprises.",,true
20,https://servicesartisans.fr/services/electricien/beaurepaire,Électricien à Beaurepaire : 7 Pros + Devis | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,10,"Électricien à Beaurepaire : 7 pros vérifiés SIREN, 50€–80€. Devis gratuit, sans engagement.",,true
20,https://servicesartisans.fr/services/chauffagiste/lunel,Chauffagiste à Lunel — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,9,25 chauffagistes vérifiés à Lunel (Hérault). 60€–100€/h. Comparez et demandez un devis gratuit.,,true
20,https://servicesartisans.fr/services/plombier/estaires,Plombier à Estaires — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,9,"Plombier à Estaires : 5 pros vérifiés SIREN, 60€–90€. Devis gratuit, sans engagement.",,true
