"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
35,https://servicesartisans.fr/services/serrurier/paimpol,Serrurier à Paimpol — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,2,0,Paimpol (22) : 2 serruriers vérifiés. Prix : 80€–150€. Devis gratuit.,69,1,true
28,https://servicesartisans.fr/services/serrurier/la-ferte-bernard,Serrurier à La Ferté-Bernard — Artisans 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,"Serrurier à La Ferté-Bernard (72) : artisans vérifiés SIREN, 80€–150€. Devis gratuit.",85,1,true
28,https://servicesartisans.fr/services/serrurier/mont-saint-aignan,Serrurier Mont-Saint-Aignan 2026 — Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,"Mont-Saint-Aignan (Seine-Maritime) : trouvez un serrurier de confiance, 80€–150€. Devis gratuit.",96,1,true
20,https://servicesartisans.fr/services/electricien/beaurepaire,Électricien à Beaurepaire : 7 Pros + Devis | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Électricien à Beaurepaire : 7 pros vérifiés SIREN, 50€–80€. Devis gratuit, sans engagement.",91,1,true
20,https://servicesartisans.fr/services/chauffagiste/lunel,Chauffagiste à Lunel — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,25 chauffagistes vérifiés à Lunel (Hérault). 60€–100€/h. Comparez et demandez un devis gratuit.,95,1,true
20,https://servicesartisans.fr/services/plombier/estaires,Plombier à Estaires — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Plombier à Estaires : 5 pros vérifiés SIREN, 60€–90€. Devis gratuit, sans engagement.",85,1,true
20,https://servicesartisans.fr/services/plombier/coutras,Plombier Coutras 2026 : 8 Artisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Plombier à Coutras : 8 pros vérifiés SIREN, 60€–90€. Devis gratuit, sans engagement.",84,1,true
20,https://servicesartisans.fr/services/plombier/firminy,Plombier à Firminy — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Trouvez un plombier à Firminy. 23 artisans vérifiés, tarifs de 60€–90€. Devis gratuit en 2 min.",95,1,true
20,https://servicesartisans.fr/services/plombier/alencon,Plombier Alençon 2026 — Devis Gratuit | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,11 plombiers vérifiés à Alençon (Orne). 60€–90€/h. Comparez et demandez un devis gratuit.,89,1,true
20,https://servicesartisans.fr/services/serrurier/rumilly,Serrurier à Rumilly — Devis Gratuit 2026 | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,3 serruriers vérifiés à Rumilly (Haute-Savoie). 80€–150€/h. Comparez et demandez un devis gratuit.,98,1,true
