"﻿""Domain""",Competitor's keywords,Common keywords,Share,Target's keywords,DR,Previous traffic,Current  traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Previous # of pages,Current # of pages,Pages change
francevitre.com,215,5,1.5%,111,29,774,650,-124,954.01,716.91,-237.10,221,155,-66
cleanolia.fr,735,8,0.8%,162,39,4163,3632,-530,4096.88,3920.41,-176.48,969,608,-361
ou-serrurier.fr,2649,17,0.6%,153,45,15188,15019,-169,53654.43,59573.71,5919.28,2821,1749,-1072
socorebat-france.fr,1760,10,0.5%,160,56,6196,6425,230,6483.38,6882.37,398.99,1736,1395,-341
etienne-services.fr,3871,20,0.4%,150,42,44644,26455,-18189,189902.32,104229.59,-85672.72,4081,2656,-1425
rdvartisans.fr,4224,15,0.3%,155,56,13938,11764,-2174,24983.85,20635.51,-4348.33,4837,3287,-1550
depanneo.com,11012,35,0.3%,135,62,79002,60810,-18192,119039.20,69847.07,-49192.14,6478,4685,-1793
lesbonsartisans.fr,3422,14,0.3%,156,52,35415,24861,-10554,78067.49,50917.72,-27149.77,3166,1773,-1393
stannah.com,651,2,0.2%,160,67,21115,18502,-2613,43012.36,32249.54,-10762.82,200,137,-63
ringtwice.fr,3639,9,0.2%,161,45,25973,22518,-3455,18522.17,14448.72,-4073.44,2130,1482,-648
travaux.com,33660,71,0.2%,99,74,343907,280471,-63437,504328.85,399470.58,-104858.27,18159,13339,-4820
contactartisan.com,924,2,0.1%,168,41,3335,2412,-923,2919.35,2264.09,-655.27,1691,988,-703
obat.fr,13460,16,0.1%,154,76,123637,103474,-20163,134647.17,98869.71,-35777.46,4109,3278,-831
entretiendejardin.com,3173,5,0.1%,165,41,36377,30213,-6163,7103.59,5381.11,-1722.48,606,463,-143
plus-que-pro.fr,4023,2,0%,168,83,28605,18216,-10389,24631.14,14200.29,-10430.85,3065,1480,-1585
societe.com,177529,11,0%,159,86,356695,580498,223803,135441.45,198751.25,63309.80,160546,156142,-4404
yoojo.fr,8615,5,0%,165,61,97765,80865,-16899,36379.85,28045.32,-8334.53,1339,865,-474
aratal.fr,61,0,0%,44,12,471,385,-87,927.70,813.71,-113.99,58,41,-17
mesdepanneurs.fr,29661,7,0%,163,60,212954,183693,-29260,68933.67,59111.47,-9822.20,2694,2325,-369
allovoisins.com,24142,23,0%,147,72,393268,387454,-5814,331688.25,303133.50,-28554.75,20975,14126,-6849
