"﻿""Keyword""",SERP features,Volume,KD,CPC,servicesartisans.fr/: URL,servicesartisans.fr/: Organic Position,servicesartisans.fr/: Organic Traffic,servicesartisans.fr/: Ad title,servicesartisans.fr/: Ad display URL,servicesartisans.fr/: Ad description,servicesartisans.fr/: Ad block,servicesartisans.fr/: Ad position,servicesartisans.fr/: Paid traffic,pagesjaunes.fr/: URL,pagesjaunes.fr/: Organic Position,pagesjaunes.fr/: Organic Traffic,pagesjaunes.fr/: Ad title,pagesjaunes.fr/: Ad display URL,pagesjaunes.fr/: Ad description,pagesjaunes.fr/: Ad block,pagesjaunes.fr/: Ad position,pagesjaunes.fr/: Paid traffic,travaux.com/: URL,travaux.com/: Organic Position,travaux.com/: Organic Traffic,travaux.com/: Ad title,travaux.com/: Ad display URL,travaux.com/: Ad description,travaux.com/: Ad block,travaux.com/: Ad position,travaux.com/: Paid traffic,izi-by-edf.fr/: URL,izi-by-edf.fr/: Organic Position,izi-by-edf.fr/: Organic Traffic,izi-by-edf.fr/: Ad title,izi-by-edf.fr/: Ad display URL,izi-by-edf.fr/: Ad description,izi-by-edf.fr/: Ad block,izi-by-edf.fr/: Ad position,izi-by-edf.fr/: Paid traffic,Updated
leclerc,"Sitelinks, Local pack, Top stories, Thumbnail, Video preview",1150000,19,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/leclerc-drive,6,6,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 23:05:04
kiabi,"Sitelinks, Local pack, Video preview",858000,4,0.01,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/provence-alpes-cote-d-azur/kiabi,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 17:32:16
castorama,"Sitelinks, Local pack, Thumbnail, Video preview",760000,24,0.01,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/aquitaine/castorama,6,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 04:41:20
leclerc drive,,721000,18,0.01,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/poitou-charentes/leclerc-drive,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 04:12:27
societe generale,"Sitelinks, Local pack, Video preview",656000,59,0.71,,,,,,,,,,https://www.pagesjaunes.fr/activites/societe-generale.html,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 01:25:16
pharmacie,"Top ads, Paid sitelinks, Local pack, Bottom ads, Thumbnail, Video preview",585000,66,0.21,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/pharmacies,9,915,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 08:23:25
lcl,"Sitelinks, Local pack, Thumbnail, Video preview",565000,22,0.05,,,,,,,,,,https://www.pagesjaunes.fr/activites/lcl.html,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 22:26:04
gamm vert,"Sitelinks, Local pack, Video preview",460000,5,0.08,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/enseignes-populaires/gamm-vert,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 12:06:02
boulangerie,"Thumbnail, Video preview",452000,14,0.06,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/boulanger-patissier,10,25,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 07:26:02
erome,,431000,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/53433562,9,7090,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 15:18:28
jardiland,"Sitelinks, Local pack, People also ask, Video preview",414000,3,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/52823418,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 22:26:36
super u,"Sitelinks, Local pack, Video preview",372000,49,0.24,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/aquitaine/super-u,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 01:32:35
pages blanches,"Sitelinks, People also ask, Video preview",344000,38,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pagesblanches,1,379944,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 00:23:15
centrakor,"Sitelinks, Local pack, Video preview",327000,2,0.08,,,,,,,,,,https://www.pagesjaunes.fr/pros/64363655,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 02:17:17
stradivarius,"Sitelinks, Local pack, Thumbnail, Video preview",312000,1,0.01,,,,,,,,,,https://www.pagesjaunes.fr/activites/stradivarius.html,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 03:16:22
caisse epargne,"Sitelinks, Local pack, Video preview",310000,32,0.02,,,,,,,,,,https://www.pagesjaunes.fr/activites/caisse-d-epargne.html,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 06:41:37
mbn,"Sitelinks, Video preview",291000,0,0.54,,,,,,,,,,https://www.pagesjaunes.fr/pros/62099157,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 11:27:51
yves rocher,"Sitelinks, Local pack, Thumbnail, Video preview",271000,30,0.14,,,,,,,,,,https://www.pagesjaunes.fr/pros/05403239,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 07:04:52
fitness park,,248000,16,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/56987311,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 11:36:26
bricomarché,"Sitelinks, Local pack, Video preview",244000,1,0.02,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/enseignes-populaires/bricomarche,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 14:49:14
mr bricolage,"Sitelinks, Local pack, Video preview",239000,5,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/pays-de-la-loire/mr-bricolage,6,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 04:51:13
bureau vallée,,218000,4,0.03,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/rhone-alpes/bureau-vallee,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 02:55:17
malakoff humanis,"Sitelinks, People also ask, Local pack, Video preview, Bottom ads, Paid sitelinks",202000,6,0.72,,,,,,,,,,https://www.pagesjaunes.fr/pros/00395881,7,3087,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 03:00:38
restaurant autour de moi,"Thumbnail, Sitelinks",200000,0,0.26,,,,,,,,,,https://www.pagesjaunes.fr/activites/restaurants.html,10,639,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 05:01:55
galerie lafayette,"Sitelinks, Local pack, People also ask, Video preview",199000,12,0.08,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/galeries-lafayette,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:36
