"﻿""Keyword""",Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
plombier rouen,FR,France,French,Rouen (Location),false,true,false,true,true,false,,1000,0,5.84,50,,,,4,,Lost,,https://servicesartisans.fr/devis/plombier/le-grand-quevilly/rouen,,,2026-03-18 16:53:53,
plombier caen 24h24,FR,France,French,Caen (Location),false,true,false,true,false,true,"People also ask, Sitelinks",100,0,,,18,,,,2,New,,,,https://servicesartisans.fr/urgence/plombier/caen,,2026-04-02 23:00:27
appel serrurier cherbourg cherbourg-en-cotentin,FR,France,French,"Cherbourg (Location), Cherbourg-en-Cotentin (Location)",false,true,false,true,false,true,"People also ask, Local pack",50,0,,,17,,,,1,New,,,,https://servicesartisans.fr/urgence/serrurier/cherbourg-en-cotentin,,2026-03-25 07:37:28
domotique maison connectée vendee,FR,France,French,Vendée (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview, Bottom ads",30,0,,,11,,,,1,New,,,,https://servicesartisans.fr/departements/vendee/domoticien,,2026-03-27 14:18:02
ascenseur nièvre,FR,France,French,Nièvre (Location),false,true,false,true,false,false,People also ask,20,0,,,8,,,,1,New,,,,https://servicesartisans.fr/departements/nievre/ascensoriste,,2026-03-28 09:55:24
diagnostic plomb professionnel cannes,FR,France,French,Cannes (Location),false,true,false,true,true,false,"Local pack, People also ask, Sitelinks, Video preview",70,0,,,6,,,,5,New,,,,https://servicesartisans.fr/avis/diagnostiqueur/cannes,,2026-04-01 23:10:27
forfait évry,FR,France,French,Evry (Location),false,true,false,true,false,false,People also ask,50,0,,,6,,,,3,New,,,,https://servicesartisans.fr/tarifs/borne-recharge/evry-courcouronnes,,2026-04-01 08:33:19
installation domotique vendee,FR,France,French,Vendée (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview",40,0,,,5,,,,3,New,,,,https://servicesartisans.fr/departements/vendee/domoticien,,2026-03-25 09:46:06
prix charpentier,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",200,0,0.48,5,,,,10,,Lost,,https://servicesartisans.fr/tarifs/charpentier,,,2026-03-05 04:59:27,
ma prime renov 2026,FR,France,French,MaPrimeRénov' (Event),true,false,false,true,false,false,People also ask,6200,68,1.27,,4,,,,26,New,,,,https://servicesartisans.fr/guides/maprimerenov-2026,,2026-04-15 21:01:14
architecte d'intérieur ploemel,FR,France,French,Ploemel (Location),false,true,false,true,true,false,"Knowledge panel, People also ask",30,0,,,3,,,,3,New,,,,https://servicesartisans.fr/services/architecte-interieur/auray/ploemel,,2026-03-29 18:34:02
contrat de nettoyage 86,FR,France,French,Vienne (Location),false,true,false,true,false,false,People also ask,40,0,,1,3,2,,10,4,6,,https://servicesartisans.fr/departements/vienne/nettoyage,,https://servicesartisans.fr/departements/vienne/nettoyage,2026-03-14 18:32:29,2026-04-17 02:51:33
vitrier maubeuge,FR,France,French,Maubeuge (Location),false,true,false,true,true,false,"Local pack, People also ask, Sitelinks",70,0,0.76,,3,,,,8,New,,,,https://servicesartisans.fr/services/vitrier/maubeuge,,2026-04-02 02:41:48
cuisiniste pays de la loire,FR,France,French,Pays de la Loire (Location),false,true,false,true,true,false,"People also ask, Sitelinks",80,1,,,3,,,,8,New,,,,https://servicesartisans.fr/regions/pays-de-la-loire/cuisiniste,,2026-04-16 03:19:02
vitrier muret,FR,France,French,Muret (Location),false,true,false,true,true,false,"Local pack, People also ask",80,0,1.07,,3,,,,9,New,,,,https://servicesartisans.fr/services/vitrier/muret,,2026-04-01 20:58:27
aquitaine plombier,FR,France,French,Aquitaine (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview",30,0,,,3,,,,6,New,,,,https://servicesartisans.fr/regions/nouvelle-aquitaine/plombier,,2026-03-30 03:28:27
déménagement pas cher alpes maritimes,FR,France,French,Alpes Maritimes (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview, Bottom ads",50,0,,,3,,,,7,New,,,,https://servicesartisans.fr/departements/alpes-maritimes/demenageur,,2026-03-27 01:30:29
surélévation ris-orangis,FR,France,French,Ris-Orangis (Location),false,true,false,true,true,false,Knowledge panel,30,0,,,3,,,,4,New,,,,https://servicesartisans.fr/tarifs/charpentier/ris-orangis/surelevation-en-ossature-bois,,2026-03-22 02:54:02
artisan peintre a lyon,FR,France,French,Lyon (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview, Sitelinks",30,0,,,3,,,,6,New,,,,https://servicesartisans.fr/services/peintre-en-batiment/lyon,,2026-04-01 17:46:27
vitrier roquevaire,FR,France,French,Roquevaire (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask",80,1,,,3,,,,10,New,,,,https://servicesartisans.fr/avis/vitrier/roquevaire,,2026-04-15 23:13:12
serrurier paimpol,FR,France,French,Paimpol (Location),false,true,false,true,true,false,"Local pack, People also ask",90,0,1.23,,2,,,,12,New,,,,https://servicesartisans.fr/services/serrurier/paimpol,,2026-04-11 16:36:02
installation prise,FR,France,French,,false,false,false,true,false,false,"People also ask, Video preview, Sitelinks",70,0,0.74,,2,,,,5,New,,,,https://servicesartisans.fr/blog/comment-installer-prise-electrique,,2026-04-10 14:22:52
serrurier aix les bains,FR,France,French,Aix-les-Bains (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",600,2,2.67,,2,,,,19,New,,,,https://servicesartisans.fr/services/serrurier/aix-les-bains/serrurier-2-savoies-900916347,,2026-04-14 21:41:02
domotique villeneuve sur lot,FR,France,French,Villeneuve-sur-Lot (Location),false,true,false,true,true,false,"Sitelinks, Local pack",80,0,,,2,,,,11,New,,,,https://servicesartisans.fr/services/domoticien/villeneuve-sur-lot,,2026-04-06 15:11:18
prix placard sur mesure menuisier,FR,France,French,,false,false,false,true,true,false,"Featured snippet, People also ask, Shopping, Thumbnail, Sitelinks",60,0,0.37,,2,,,,9,New,,,,https://servicesartisans.fr/tarifs/menuisier/tournefeuille/fabrication-et-pose-d-un-placard-sur-mesure,,2026-03-21 12:56:08
tekno batilux,FR,France,French,Tekno Batilux (Organization),true,false,false,true,false,false,Sitelinks,50,0,,,2,,,,8,New,,,,https://servicesartisans.fr/services/macon/saint-martin-du-var/tekno-batilux-travaux-de-maconnerie-generale-et-gros-oeuvre-de-batiment-travaux--889363537,,2026-04-01 08:03:53
eric corniglion,FR,France,French,Eric Corniglion (Person),false,false,false,true,false,false,Video preview,100,0,0.05,,2,,,,6,New,,,,https://servicesartisans.fr/services/solier/vence/eric-corniglion-327758421,,2026-04-10 22:18:47
bm macon,FR,France,French,"B&M Macon (Organization), B&M Macon (Location)",true,true,false,true,false,false,"People also ask, Thumbnail, Sitelinks",700,0,4.00,2,,,,20,,Lost,,https://servicesartisans.fr/services/macon/roquefort-la-bedoule/bm-construction-853986826,,,2026-03-03 22:56:05,
ascenseur auxonne,FR,France,French,Auxonne (Location),false,true,false,true,true,false,People also ask,20,0,,,2,,,,4,New,,,,https://servicesartisans.fr/avis/ascensoriste/auxonne,,2026-03-21 22:07:46
artisanat frouzins,FR,France,French,Frouzins (Location),false,true,false,true,false,false,"Thumbnail, People also ask",30,0,,2,,,,6,,Lost,,https://servicesartisans.fr/villes/frouzins/centre-ville,,,2026-02-23 08:30:48,
contrat de nettoyage 17,FR,France,French,17 (Location),false,true,false,true,false,false,"People also ask, Sitelinks",40,0,,1,,,,8,,Lost,,https://servicesartisans.fr/departements/charente-maritime/nettoyage,,,2026-03-11 08:12:02,
vitrier fontenay le fleury,FR,France,French,Fontenay-le-Fleury (Location),false,true,false,true,true,false,Knowledge panel,30,0,1.41,,1,,,,7,New,,,,https://servicesartisans.fr/avis/vitrier/fontenay-le-fleury,,2026-04-09 18:17:46
ramonage anglet,FR,France,French,Anglet (Location),false,true,false,true,false,false,"Local pack, People also ask",70,0,1.02,,1,,,,12,New,,,,https://servicesartisans.fr/avis/ramoneur/anglet,,2026-03-31 16:30:47
tarif pose sol pvc,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask",50,0,0.41,,1,,,,11,New,,,,https://servicesartisans.fr/tarifs/solier/noisy-le-sec/pose-de-sol-pvc-vinyle-en-lames-ou-dalles,,2026-03-19 19:40:38
serrurier la ferte bernard,FR,France,French,La Ferté Bernard (Location),false,true,false,true,false,false,"Local pack, People also ask",40,0,1.31,,1,,,,11,New,,,,https://servicesartisans.fr/services/serrurier/la-ferte-bernard,,2026-04-11 05:04:41
demenageur cambrai,FR,France,French,Cambrai (Location),false,true,false,true,true,false,"Top ads, Local pack, People also ask, Thumbnail",50,0,1.18,1,,,,11,,Lost,,https://servicesartisans.fr/devis/demenageur/cambrai/centre-ville,,,2026-02-25 07:38:53,
serrurier mont saint aignan,FR,France,French,Mont Saint Aignan (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Bottom ads",50,0,5.65,,1,,,,11,New,,,,https://servicesartisans.fr/services/serrurier/mont-saint-aignan,,2026-04-15 16:37:17
