"﻿""Domain""",Competitor's keywords,Common keywords,Share,Target's keywords,DR,Previous traffic,Current  traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Previous # of pages,Current # of pages,Pages change
francevitre.com,215,5,1.5%,111,29,774,650,-124,954.01,716.91,-237.10,221,155,-66
cleanolia.fr,737,8,0.8%,162,39,4163,3640,-523,4096.88,3953.61,-143.27,969,609,-360
ou-serrurier.fr,2660,17,0.6%,153,45,15188,15037,-151,53654.43,59661.45,6007.02,2821,1758,-1063
socorebat-france.fr,1762,10,0.5%,160,56,6196,6432,237,6483.38,6885.72,402.34,1736,1395,-341
etienne-services.fr,3870,20,0.4%,150,42,44644,26377,-18267,189902.32,104111.43,-85790.88,4081,2656,-1425
rdvartisans.fr,4232,15,0.3%,155,57,13938,11789,-2149,24983.85,20705.37,-4278.48,4837,3293,-1544
depanneo.com,11011,35,0.3%,135,62,79002,60794,-18208,119039.20,69848.68,-49190.53,6478,4681,-1797
lesbonsartisans.fr,3427,14,0.3%,156,52,35415,24866,-10549,78067.49,50918.22,-27149.28,3166,1771,-1395
stannah.com,652,2,0.2%,160,67,21115,18496,-2619,43012.36,32228.91,-10783.46,200,137,-63
ringtwice.fr,3644,9,0.2%,161,45,25973,22595,-3378,18522.17,14502.63,-4019.54,2130,1482,-648
travaux.com,33673,71,0.2%,99,74,343909,280868,-63042,504330.53,399799.01,-104531.51,18160,13340,-4820
contactartisan.com,919,2,0.1%,168,41,3335,2408,-927,2919.35,2256.21,-663.15,1691,982,-709
obat.fr,13458,16,0.1%,154,76,123638,103406,-20231,134647.61,98790.42,-35857.20,4109,3277,-832
entretiendejardin.com,3165,5,0.1%,165,41,36447,30386,-6061,7109.27,5391.47,-1717.80,606,462,-144
plus-que-pro.fr,4010,2,0%,168,83,28605,18187,-10418,24631.14,14228.51,-10402.63,3065,1468,-1597
societe.com,178559,11,0%,159,86,356695,582830,226135,135441.45,199088.98,63647.53,160546,157000,-3546
yoojo.fr,8603,5,0%,165,61,97765,80850,-16914,36379.85,28047.17,-8332.68,1339,865,-474
aratal.fr,61,0,0%,44,12,471,385,-87,927.70,813.71,-113.99,58,41,-17
mesdepanneurs.fr,29698,7,0%,163,60,212967,183972,-28995,68937.83,59108.06,-9829.77,2694,2325,-369
allovoisins.com,24164,23,0%,147,72,393269,387526,-5743,331688.80,303191.26,-28497.54,20975,14134,-6841
