# ----------------------------------------
"# Vue d'ensemble ""Voir l'engagement et la rétention des utilisateurs"""
# Compte : Servicesartisans 
# Propriété : Servicesartisans
# ----------------------------------------
#  
# Date de début : 20260319
# Date de fin : 20260417
Nième jour,Utilisateurs actifs
0000,97
0001,74
0002,68
0003,77
0004,107
0005,81
0006,80
0007,94
0008,48
0009,0
0010,2
0011,1
0012,0
0013,2
0014,2
0015,0
0016,10
0017,75
0018,71
0019,119
0020,114
0021,112
0022,118
0023,83
0024,95
0025,171
0026,141
0027,151
0028,119
0029,104

# Date de début : 20260319
# Date de fin : 20260417
Nième jour,Nouveaux utilisateurs
0000,94
0001,71
0002,65
0003,72
0004,100
0005,80
0006,76
0007,91
0008,46
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,9
0017,76
0018,71
0019,111
0020,104
0021,105
0022,107
0023,79
0024,89
0025,159
0026,135
0027,145
0028,108
0029,90

# D'où proviennent vos nouveaux utilisateurs ?
# Date de début : 20260319
# Date de fin : 20260417
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Organic Search,1792
Direct,147
Cross-network,79
Unassigned,42
Referral,22
Organic Social,1

#  
# Date de début : 20260319
# Date de fin : 20260417
Titre de la page et classe de l'écran,Vues
Tous les Métiers Artisans — Devis Gratuit | ServicesArtisans,146
Devis Artisan Gratuit — Comparez les Offres | ServicesArtisans,103
Artisans de France — 970 326+ Pros Vérifiés,89
Artisans de France — 969 880+ Pros Vérifiés | ServicesArtisans,77
ServicesArtisans — Annuaire d'artisans en France,64
Marseille (13) — Annuaire | ServicesArtisans,35
Artisan non trouvé | ServicesArtisans,32
Artisans de France — 970 327+ Pros Vérifiés,29
DENY LEHMANN - Solier-moquettiste à… | ServicesArtisans,25
Plombier en France — Devis Gratuit 2026 | ServicesArtisans,23
Prime CEE Isolation d'un plancher à Champigny-sur-Marne —… | ServicesArtisans,20
Page introuvable | ServicesArtisans,18
Maçon France 2026 : Devis Gratuit | ServicesArtisans,17
Artisans Louhans (71) — Devis | ServicesArtisans,16
Tarifs Artisans 2026 : Prix Moyens par Métier et Ville | ServicesArtisans,16
MARK MITRI (MARC COUVERTURE ET TOITURE)… | ServicesArtisans,15
Artisans par Département — 101 Dép. | ServicesArtisans,14
"Artisans à Royat, Chamalières | ServicesArtisans",14
Mentions légales | ServicesArtisans,14
Prime CEE Isolation d'un plancher à Vitry-sur-Seine —… | ServicesArtisans,14
