# ----------------------------------------
# Instantané des rapports
# Compte : Servicesartisans 
# Propriété : Servicesartisans
# ----------------------------------------
#  
# Date de début : 20260319
# Date de fin : 20260417
Utilisateurs actifs,Nouveaux utilisateurs,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements
2113,2083,47.73213440605774,32125

#  
# Date de début : 20260319
# Date de fin : 20260417
Titre de la page et classe de l'écran,Vues,Utilisateurs actifs,Nombre d'événements,Taux de rebond
Tous les Métiers Artisans — Devis Gratuit | ServicesArtisans,146,52,528,0.08620689655172414
Devis Artisan Gratuit — Comparez les Offres | ServicesArtisans,103,41,430,0.04081632653061224
Artisans de France — 970 326+ Pros Vérifiés,89,41,314,0.32608695652173914
Artisans de France — 969 880+ Pros Vérifiés | ServicesArtisans,77,19,399,0.16279069767441862
ServicesArtisans — Annuaire d'artisans en France,64,12,314,0.2727272727272727
Marseille (13) — Annuaire | ServicesArtisans,35,3,58,0
Artisan non trouvé | ServicesArtisans,32,29,79,0
Artisans de France — 970 327+ Pros Vérifiés,29,8,125,0.23076923076923078
DENY LEHMANN - Solier-moquettiste à… | ServicesArtisans,25,2,205,0
Plombier en France — Devis Gratuit 2026 | ServicesArtisans,23,1,64,0
Prime CEE Isolation d'un plancher à Champigny-sur-Marne —… | ServicesArtisans,20,1,26,0
Page introuvable | ServicesArtisans,18,8,118,0
Maçon France 2026 : Devis Gratuit | ServicesArtisans,17,4,49,0
Artisans Louhans (71) — Devis | ServicesArtisans,16,1,29,0.5
Tarifs Artisans 2026 : Prix Moyens par Métier et Ville | ServicesArtisans,16,6,64,0.14285714285714285
MARK MITRI (MARC COUVERTURE ET TOITURE)… | ServicesArtisans,15,1,81,0
Artisans par Département — 101 Dép. | ServicesArtisans,14,6,40,0
"Artisans à Royat, Chamalières | ServicesArtisans",14,1,27,0
Mentions légales | ServicesArtisans,14,4,29,0
Prime CEE Isolation d'un plancher à Vitry-sur-Seine —… | ServicesArtisans,14,1,22,0
41 carreleurs à Centre-ville… | ServicesArtisans,13,1,40,0
Artisans de France — 969 893+ Pros Vérifiés | ServicesArtisans,13,3,56,0.3333333333333333
Métallier La Trinité — 7 artisans | ServicesArtisans,13,1,25,0
Plombier à Paris — Comparez | ServicesArtisans,13,1,24,0
Solier-moquettiste à Nîmes — Devis Gratuit | ServicesArtisans,13,1,62,0
Prix Artisans 2026 — Tarifs et Barèmes | ServicesArtisans,12,5,73,0.14285714285714285
Artisans par ville — Des milliers de professionnels | ServicesArtisans,11,7,36,0
NICOLAE NIMERENCO (NIMERENCO NICOLAE) -… | ServicesArtisans,11,2,57,0.2
Chauffagiste : Tarifs 2026 + Devis Gratuit | ServicesArtisans,10,3,36,0.25
Menuisier à Paris — Comparez | ServicesArtisans,10,1,13,0
ARTISANS MULTISERVICES DES YVELINES (ETABLISSEMENTS… | ServicesArtisans,9,2,47,0
Gironde : artisans qualifiés — Devis | ServicesArtisans,9,2,19,0
JEAN-NOEL PLANCHAT - Peintre en bâtiment à Lormont | ServicesArtisans,9,1,42,0.5
"Jardinier à Centre-ville, Montauroux — 7… | ServicesArtisans",9,1,35,0
Peintre en bâtiment Antibes — 259 artisans | ServicesArtisans,9,1,24,0
Plombier à Amiens — Devis Gratuit | ServicesArtisans,9,1,37,0
Plombier à Cergy — Comparez | ServicesArtisans,9,1,29,0
Prix nettoyage : combien ça coûte ? | ServicesArtisans,9,6,59,0.42857142857142855
Prix paysagiste à Loudéac — Tarifs | ServicesArtisans,9,1,15,0
Tarif menuisier 2026 : combien ça coûte vraiment ? | ServicesArtisans,9,2,24,0
Trouver un artisan à Vert-Saint-Denis | ServicesArtisans,9,1,21,0
Électricien Lyon (69) — Devis | ServicesArtisans,9,1,78,0
Architecte d'intérieur Crosne… | ServicesArtisans,8,1,18,0
Avis Artisans Vérifiés — Choisir un Pro | ServicesArtisans,8,5,39,0.5
BERNARD MANESSE - Électricien à Soissons | ServicesArtisans,8,1,41,0
Cuisiniste à Chambray-lès-Tours — Devis… | ServicesArtisans,8,1,12,0
Devis géomètre Rennes 2026 | ServicesArtisans,8,1,41,0
Devis métallier : gratuit et sans engagement | ServicesArtisans,8,1,54,0.5
MOHAMMAD HADI RASOOLI (JUMADI) -… | ServicesArtisans,8,1,29,0
Peintre en bâtiment Alès 2026 — Devis Gratuit | ServicesArtisans,8,1,21,0
Plombier France 2026 : Devis Gratuit | ServicesArtisans,8,4,42,0.2
Plombier Paris 2026 : 2702 Artisans | ServicesArtisans,8,2,33,0
Prix plombier Paris : barème | ServicesArtisans,8,1,18,0
"Simulateur aides rénovation énergétique 2026 — MaPrimeRénov', CEE, Coup de Pouce | ServicesArtisans",8,3,23,0
Solier-moquettiste Schiltigheim 2026 : 8 Artisans | ServicesArtisans,8,1,31,0
11 géomètres à Feyzin (Saint-Fons) | ServicesArtisans,7,1,24,0
Artisans en Nouvelle-Aquitaine — Comparez | ServicesArtisans,7,2,18,0
Avis Désinsectisation — Note 5/5 (901 avis vérifiés) | ServicesArtisans,7,1,14,0
Avis couvreur Agde 2026 | ServicesArtisans,7,1,32,0
DAVID WEISS - Couvreur à Dijon | ServicesArtisans,7,1,42,0
JEAN LARIO (L.J A VOTRE SERVICE) -… | ServicesArtisans,7,1,36,0.6666666666666666
JULIEN BRUN (PICARREAUX) - Carreleur à… | ServicesArtisans,7,3,66,0.3333333333333333
Maçon Mandelieu-la-Napoule : avis et devis | ServicesArtisans,7,1,11,0
Maçon en France — Devis Gratuit 2026 | ServicesArtisans,7,2,20,0
Maçon à Matoury — Devis Gratuit 2026 | ServicesArtisans,7,1,33,0
Menuisier Carcassonne : avis et devis | ServicesArtisans,7,1,15,0
Métallier : Artisans Vérifiés + Devis Gratuit | ServicesArtisans,7,2,24,0
Électricien à Chambray-lès-Tours — Devis… | ServicesArtisans,7,1,17,0
Électricien à Wintzenheim — Comparez | ServicesArtisans,7,1,15,0
Artisans en Auvergne-Rhône-Alpes —… | ServicesArtisans,6,2,22,0
Avis chauffagiste Grenoble : notes | ServicesArtisans,6,1,22,0
Avis géomètre à Rennes — Guide | ServicesArtisans,6,1,11,0
CEDRIC GENDRON (GENDRON COUVERTURE) - Couvreur à Barentin | ServicesArtisans,6,1,25,0
Contactez l'équipe ServicesArtisans — Support & Questions | ServicesArtisans,6,3,16,0
DAVID COUTELLE - Électricien à Dax | ServicesArtisans,6,1,32,0
DESIRE KHELIF - Électricien à… | ServicesArtisans,6,1,21,0
Guide BAR-EN-103 : prime CEE isolation plancher 2026 | ServicesArtisans,6,1,14,0
Géomètre Bauvin 2026 — Devis Gratuit | ServicesArtisans,6,1,31,0
JEAN-MICHEL DHUEZ - Solier-moquettiste à… | ServicesArtisans,6,1,32,0
JIMMY ENOU - Maçon à Lunel | ServicesArtisans,6,1,33,0
JULIEN SIMON (ARTISANS DU STORE) -… | ServicesArtisans,6,3,38,0.3333333333333333
Jardinier Punaauia : annuaire | ServicesArtisans,6,1,14,0
MAXIME PEREIRA (PEREIRA MAXIME ARTISAN… | ServicesArtisans,6,2,31,0.4
Menuisier France 2026 : Devis Gratuit | ServicesArtisans,6,3,21,0
Menuisier Louhans 2026 : 9 Artisans | ServicesArtisans,6,1,13,0
NICOLAS MARTINEZ (MZ PLOMBERIE… | ServicesArtisans,6,2,35,0
PCC. IDF - Plombier à Arnouville | ServicesArtisans,6,2,34,0
Plombier Pont-Sainte-Maxence 2026 : 10 Artisans | ServicesArtisans,6,1,15,0.5
Primes CEE 2026 : certificats d’économies d’énergie | ServicesArtisans,6,1,21,0
Prix terrassement pour fondations à Romans-sur-Isère — Tarifs 2026 | ServicesArtisans | ServicesArtisans,6,1,19,0
À propos de ServicesArtisans — Annuaire d'artisans gratuit | ServicesArtisans,6,2,30,0.5
43 menuisiers à Saint-Christophe-du-Bois (Sèvremoine) | ServicesArtisans,5,1,15,0
Antenniste urgence Saint-André (974) | ServicesArtisans,5,1,11,0
Artisans par Département — 101 Départements | ServicesArtisans,5,2,13,0
Artisans par Région — 18 Régions | ServicesArtisans,5,3,17,0
"Artisans à Louverné, Mayenne | ServicesArtisans",5,1,13,0
Avis jardinier Pont-Sainte-Marie : notes | ServicesArtisans,5,1,19,0
Avis nettoyage Saint-Lys | ServicesArtisans,5,1,15,0
Avis plombier Alès — Comparez | ServicesArtisans,5,1,23,0
BUREAU 23 - Diagnostiqueur à Noisy-le-Sec | ServicesArtisans,5,1,36,0.5
Devis désinsectisation : gratuit et sans… | ServicesArtisans,5,1,21,0
Devis maçon gratuit 2026 — Comparez | ServicesArtisans,5,3,27,0
Diagnostiqueur Centre-ville Noisy-le-Sec… | ServicesArtisans,5,1,16,0
Désinsectisation France 2026 — Comparez + Devis | ServicesArtisans,5,1,19,0
Façadier Marseille (13) — Devis 2026 | ServicesArtisans,5,2,19,0
MICHEL POUVILLE (BATITECH SUD OUEST) -… | ServicesArtisans,5,1,17,0
Maçon à Paris : 5470 Pros + Devis | ServicesArtisans,5,2,25,0
Menuisier Le Lorrain 2026 — Devis Gratuit | ServicesArtisans,5,2,34,0
Nettoyage de fin de chantier (appartement 60 m²)… | ServicesArtisans,5,2,31,0.6666666666666666
Nettoyage professionnel à Dijon — Comparez | ServicesArtisans,5,1,9,0
OLIVIER DUTEIL (ENTREPRISE DUTEIL) -… | ServicesArtisans,5,1,19,0
Peintre en bâtiment France — Artisans… | ServicesArtisans,5,1,15,0
Plombier Oncieu — Annuaire | ServicesArtisans,5,1,31,0
Pose de sol souple linoléum Paris : 25–50€ (2026) | ServicesArtisans,5,1,26,0.5
Prix Serrurier 2026 : combien prévoir ? 80–150€/intervention | ServicesArtisans,5,2,17,0.5
Prix ferronnier 2026 : guide complet | ServicesArtisans,5,4,38,0.2
Prix plombier Fort-de-France 2026 | ServicesArtisans,5,1,13,0
Prix remplacement d'un simple vitrage à Massy — Tarifs 2026 | ServicesArtisans | ServicesArtisans,5,1,21,0
Provence-Alpes-Côte d'Azur — Annuaire artisans vérifiés | ServicesArtisans,5,2,28,0.5
Salle de bain : Artisans Vérifiés + Devis Gratuit | ServicesArtisans,5,2,12,0
Serrurier La Trinité — 17 artisans | ServicesArtisans,5,1,9,0
Square Electricité - Électricien à Paris | ServicesArtisans,5,1,32,0
THIERRY CORSI - Électricien à La Garde | ServicesArtisans,5,2,30,0.3333333333333333
Tarifs nettoyage Dijon — Guide | ServicesArtisans,5,1,9,0
VINCENT BALLAIRE (MY CLIMAT) -… | ServicesArtisans,5,3,32,0.3333333333333333
Électricien Pont-Sainte-Marie (10) — Devis | ServicesArtisans,5,1,9,0
AM MENUISERIES - Menuisier à Sorgues | ServicesArtisans,4,1,30,0.3333333333333333
ANDREI COSTAS - Solier-moquettiste à… | ServicesArtisans,4,1,9,0
ANIS GTAT - Électricien à Toulon | ServicesArtisans,4,1,23,0
ANTONIEL DUPUY - Maçon à Matoury | ServicesArtisans,4,1,11,0
AREZKI OUBAZIZ (DELTA TRAVAUX) - Plombier à… | ServicesArtisans,4,1,16,0
Antenniste France 2026 : Devis Gratuit | ServicesArtisans,4,1,11,0
Architecte d'intérieur Créteil 2026 : 22 Artisans | ServicesArtisans,4,1,23,0
Artisans Tarn-et-Garonne (82) — Devis | ServicesArtisans,4,1,8,0
Artisans de France — 969 880+ Pros Vérifiés,4,2,14,0.3333333333333333
Artisans en Guadeloupe — Comparez | ServicesArtisans,4,2,13,0
Avis chauffagiste Saint-Martin-d'Hères —… | ServicesArtisans,4,1,10,0
Avis couvreur Mtsamboro 2026 | ServicesArtisans,4,1,8,0
"Avis plombier Joué-lès-Tours 2026 : notes, tarifs dès… | ServicesArtisans",4,2,25,0
BERCAIL - Maçon à Montpellier | ServicesArtisans,4,1,22,0
CCE SOLUTIONS (CCE SOLUTIONS) - Géomètre à… | ServicesArtisans,4,1,26,0
CLIMAINTENANCE - Climaticien à Le… | ServicesArtisans,4,1,17,0
Calculateur de prix artisan 2026 — Estimez vos travaux | ServicesArtisans,4,1,21,0
Carreleur La Réunion (974) | ServicesArtisans,4,1,18,0
Carreleur à Marseille — Devis Gratuit 2026 | ServicesArtisans,4,2,4,0.5
Chauffagiste à Grenoble : 55 Pros + Devis | ServicesArtisans,4,1,15,0
Chauffagiste à Lyon : 215 Pros + Devis | ServicesArtisans,4,1,45,0
Climaticien à Marseille : 175 Pros + Devis | ServicesArtisans,4,2,8,0
Couvreur France 2026 : Devis Gratuit | ServicesArtisans,4,2,32,0
DANY HORN - Couvreur à Les Arcs | ServicesArtisans,4,1,30,0.6666666666666666
DAVID TUNON (DT PEINTURE) - Peintre en… | ServicesArtisans,4,1,9,0
Devis déménageur Le Marin gratuit | ServicesArtisans,4,1,16,0.5
Devis rénovation énergétique : gratuit et sans engagement | ServicesArtisans,4,1,15,0.5
Diagnostiqueur Noisy-le-Sec 2026 : 11 Artisans | ServicesArtisans,4,1,10,0
Dératisation France 2026 — Comparez + Devis | ServicesArtisans,4,1,8,0
E.T.S.O. (E.T.S.O.) - Maçon à Bras-Panon | ServicesArtisans,4,1,9,0
ECD - Chauffagiste à Mulhouse | ServicesArtisans,4,1,31,0
EMILIEN PRIEUR - Charpentier à Montech | ServicesArtisans,4,1,13,1
ERIC ROGGI - Paysagiste à… | ServicesArtisans,4,1,30,0
FERMETURES SAINT LOISES - Storiste à Saint-Lô | ServicesArtisans,4,2,31,0
GAELLE HENIART (BARRAS) - Géomètre à… | ServicesArtisans,4,1,12,0
Guide BAR-TH-129 : prime CEE PAC air/air 2026 | ServicesArtisans,4,1,9,0
Géomètre Manche (50) | ServicesArtisans,4,1,15,0
Géomètre à Fonsorbes — Devis Gratuit | ServicesArtisans,4,1,14,0
ISKENDER TOK (SOS LEMAN SERRURERIE) -… | ServicesArtisans,4,1,22,0.3333333333333333
JEREMY BEAUGENCY - Peintre en bâtiment à… | ServicesArtisans,4,1,27,0
JIM ROGER (KR COUVERTURE ZINGUERIE) -… | ServicesArtisans,4,1,22,0.5
JOSE DA MOTA (JD RENOVATION) -… | ServicesArtisans,4,2,27,0.5
JULIEN LOUIS (ROC HABITAT) - Menuisier à… | ServicesArtisans,4,1,22,0
JV MAINTENANCE & ENERGIE - Électricien à… | ServicesArtisans,4,1,37,0
Jardinier Chambéry (73) — Devis | ServicesArtisans,4,1,10,0
LES COUVREURS D'ELITE - Couvreur à… | ServicesArtisans,4,2,20,0.75
LES JARDINS DE DAMIEN (LES JARDINS DE… | ServicesArtisans,4,1,14,0
MONTASSAR YAHYAOUI - Peintre en bâtiment… | ServicesArtisans,4,1,20,0
Maçon Perros-Guirec : avis et devis | ServicesArtisans,4,1,7,0
Maçon Salazie Bras-Panon : devis gratuit | ServicesArtisans,4,1,13,0
Maçon d'urgence à Les Abrets en Dauphiné | ServicesArtisans,4,1,13,0
Maçon à Laval — Devis Gratuit | ServicesArtisans,4,1,11,0
Menuisier à Courbevoie — Comparez | ServicesArtisans,4,1,10,0
Menuisier à Marseille — Devis Gratuit 2026 | ServicesArtisans,4,2,4,0
Mes artisans favoris — ServicesArtisans | ServicesArtisans,4,1,12,0
N.G. TERRASSEMENT (N.G.CONSTRUCTION) -… | ServicesArtisans,4,1,14,0
NADYA LABIED (ROUIZEM) - Architecte… | ServicesArtisans,4,1,19,0.5
NICOLAS BECHTEL (BAI (BECHTEL AMENAGEMENT INTERIEUR)) -… | ServicesArtisans,4,1,8,0
Peintre en bâtiment à Marseille — Devis Gratuit 2026 | ServicesArtisans,4,1,4,0
Plombier Cassis La Ciotat : devis gratuit | ServicesArtisans,4,1,24,0
Plombier Nice (06) — Devis | ServicesArtisans,4,1,6,0
Plombier à Antibes — Devis Gratuit | ServicesArtisans,4,1,11,0
Plombier à Athis-Mons — Comparez | ServicesArtisans,4,1,10,0
"Plombier à Queuleu, Metz — 47 pros | ServicesArtisans",4,1,18,0.6666666666666666
Poseur de parquet Roubaix 2026 — Devis Gratuit | ServicesArtisans,4,2,31,0
Prix Métallier 2026 : combien prévoir ? 150–400€/ml | ServicesArtisans,4,1,37,0
Prix maçon 2026 — Tarifs détaillés | ServicesArtisans,4,2,21,0
Prix nettoyage de façade (kärcher professionnel) à Pau — Tarifs 2026 | ServicesArtisans | ServicesArtisans,4,1,17,0.75
Prix Étanchéiste Thouars 2026 : 40–100€ | ServicesArtisans,4,1,11,0
ROJ - Carreleur à Schiltigheim | ServicesArtisans,4,1,12,0
