Date,URL non HTTPS,URL HTTPS
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,1
2026-01-29,0,1
2026-01-30,0,1
2026-01-31,0,1
2026-02-01,0,1
2026-02-02,0,1
2026-02-03,0,1
2026-02-04,0,1
2026-02-05,0,1
2026-02-06,0,1
2026-02-07,0,1
2026-02-08,0,1
2026-02-09,0,5
2026-02-10,0,11
2026-02-11,0,12
2026-02-12,0,13
2026-02-13,0,17
2026-02-14,0,17
2026-02-15,0,17
2026-02-16,0,17
2026-02-17,0,17
2026-02-18,0,20
2026-02-19,0,21
2026-02-20,0,21
2026-02-21,0,22
2026-02-22,0,113
2026-02-23,0,169
2026-02-24,0,241
2026-02-25,0,287
2026-02-26,0,310
2026-02-27,0,327
2026-02-28,0,337
2026-03-01,0,382
2026-03-02,0,517
2026-03-03,0,690
2026-03-04,0,822
2026-03-05,0,859
2026-03-06,0,873
2026-03-07,0,893
2026-03-08,0,950
2026-03-09,0,1120
2026-03-10,0,1133
2026-03-11,0,1152
2026-03-12,0,1165
2026-03-13,0,1186
2026-03-14,0,1299
2026-03-15,0,1446
2026-03-16,0,1660
2026-03-17,0,2128
2026-03-18,0,2217
2026-03-19,0,2227
2026-03-20,0,2240
2026-03-21,0,2265
2026-03-22,0,2313
2026-03-23,0,2340
2026-03-24,0,2346
2026-03-25,0,2362
2026-03-26,0,2410
2026-03-27,0,2643
2026-03-28,0,3215
2026-03-29,0,3783
2026-03-30,0,4400
2026-03-31,0,4742
2026-04-01,0,4748
2026-04-02,0,4768
2026-04-03,0,4765
2026-04-04,0,4771
2026-04-05,0,4747
2026-04-06,0,4695
2026-04-07,0,4654
2026-04-08,0,4702
2026-04-09,0,4730
2026-04-10,0,4845
2026-04-11,0,5048
2026-04-12,0,5326
2026-04-13,0,5485
2026-04-14,0,5617
2026-04-15,0,5684
2026-04-16,0,5626
2026-04-17,0,5731
2026-04-18,0,5704
