"﻿""Keyword""",Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
plombier rouen,1000,50,,,,4.00,,,0,-1,FR,France,1000,50,
plombier caen 24h24,100,,18,,,,2.00,,1,1,FR,France,100,18,
appel serrurier cherbourg cherbourg-en-cotentin,50,,17,,,,1.00,,1,1,FR,France,50,17,
domotique maison connectée vendee,30,,11,,,,1.00,,1,1,FR,France,30,11,
ascenseur nièvre,20,,8,,,,1.00,,1,1,FR,France,20,8,
diagnostic plomb professionnel cannes,70,,6,,,,5.00,,1,1,FR,France,70,6,
forfait évry,50,,6,,,,3.00,,1,1,FR,France,50,6,
installation domotique vendee,40,,5,,,,3.00,,1,1,FR,France,40,5,
prix charpentier,200,5,,,,10.00,,,0,-1,FR,France,200,5,
ma prime renov 2026,6200,,4,,,,26.00,,1,1,FR,France,6200,4,
architecte d'intérieur ploemel,30,,3,,,,3.00,,1,1,FR,France,30,3,
contrat de nettoyage 86,40,1,3,2,,10.00,4.00,-6.00,1,,FR,France,40,3,2
vitrier maubeuge,70,,3,,,,8.00,,1,1,FR,France,70,3,
cuisiniste pays de la loire,80,,3,,,,8.00,,1,1,FR,France,80,3,
vitrier muret,80,,3,,,,9.00,,1,1,FR,France,80,3,
aquitaine plombier,30,,3,,,,6.00,,1,1,FR,France,30,3,
déménagement pas cher alpes maritimes,50,,3,,,,7.00,,1,1,FR,France,50,3,
surélévation ris-orangis,30,,3,,,,4.00,,1,1,FR,France,30,3,
artisan peintre a lyon,30,,3,,,,6.00,,1,1,FR,France,30,3,
vitrier roquevaire,80,,3,,,,10.00,,1,1,FR,France,80,3,
serrurier paimpol,90,,2,,,,12.00,,1,1,FR,France,90,2,
installation prise,70,,2,,,,5.00,,1,1,FR,France,70,2,
serrurier aix les bains,600,,2,,,,19.00,,1,1,FR,France,600,2,
domotique villeneuve sur lot,80,,2,,,,11.00,,1,1,FR,France,80,2,
prix placard sur mesure menuisier,60,,2,,,,9.00,,1,1,FR,France,60,2,
tekno batilux,50,,2,,,,8.00,,1,1,FR,France,50,2,
eric corniglion,100,,2,,,,6.00,,1,1,FR,France,100,2,
bm macon,700,2,,,,20.00,,,0,-1,FR,France,700,2,
ascenseur auxonne,20,,2,,,,4.00,,1,1,FR,France,20,2,
artisanat frouzins,30,2,,,,6.00,,,0,-1,FR,France,30,2,
contrat de nettoyage 17,40,1,,,,8.00,,,0,-1,FR,France,40,1,
vitrier fontenay le fleury,30,,1,,,,7.00,,1,1,FR,France,30,1,
ramonage anglet,70,,1,,,,12.00,,1,1,FR,France,70,1,
tarif pose sol pvc,50,,1,,,,11.00,,1,1,FR,France,50,1,
serrurier la ferte bernard,40,,1,,,,11.00,,1,1,FR,France,40,1,
demenageur cambrai,50,1,,,,11.00,,,0,-1,FR,France,50,1,
serrurier mont saint aignan,50,,1,,,,11.00,,1,1,FR,France,50,1,
serrurier sevran,350,,1,,,,20.00,,1,1,FR,France,350,1,
ascenseur belleville en beaujolais,10,,1,,,,2.00,,1,1,FR,France,10,1,
peintre qualifie bordeaux,10,,1,,,,4.00,,1,1,FR,France,10,1,
ascenseur cosne sur loire,20,,1,,,,6.00,,1,1,FR,France,20,1,
papier peint chalons en champagne,30,,1,,,,9.00,,1,1,FR,France,30,1,
