rank,domain,maxDr,maxTraffic,nCompetitors,competitorsHit,totalDofollowToCompetitors,firstSeenMin,pitchPriority
1,actu.fr,87,2113936,5,effy|france_renov|hellio|selectra|sonergia,201,2020-07-31T02:27:04Z,tier_1_hot
2,simplypsychology.org,85,1755189,4,effy|france_renov|hellio|selectra,544,2023-02-11T15:39:32Z,tier_1_hot
3,lemonde.fr,91,7399248,3,effy|france_renov|selectra,80,2017-03-10T16:14:10Z,tier_2_warm
4,francetvinfo.fr,90,2328,3,effy|france_renov|hellio,120,2019-08-20T13:17:12Z,tier_2_warm
5,radiofrance.fr,90,7412330,3,france_renov|hellio|selectra,154,2022-02-06T20:07:32Z,tier_2_warm
6,leparisien.fr,89,3366259,3,effy|france_renov|selectra,58,2016-10-31T12:37:56Z,tier_2_warm
7,welcometothejungle.com,86,485536,3,effy|hellio|selectra,1980,2019-10-31T20:09:54Z,tier_2_warm
8,ladepeche.fr,86,2576150,3,effy|france_renov|selectra,75,2020-02-18T07:23:51Z,tier_2_warm
9,avis-verifies.com,85,153778,3,effy|hellio|sonergia,314,2020-08-16T09:56:29Z,tier_2_warm
10,latribune.fr,84,307044,3,effy|hellio|selectra,32,2016-02-08T06:32:09Z,tier_2_warm
11,capital.fr,84,501989,3,effy|france_renov|hellio,208,2021-04-17T04:38:19Z,tier_2_warm
12,challenges.fr,82,202276,3,effy|france_renov|hellio,39,2021-03-04T09:25:01Z,tier_2_warm
13,rtl.fr,82,1867904,3,effy|france_renov|hellio,50,2022-01-06T04:53:15Z,tier_2_warm
14,bing.com,93,29123574,2,hellio|selectra,290,2018-07-27T13:34:11Z,tier_3_cold
15,msn.com,92,28130870,2,france_renov|selectra,4,2021-01-01T09:14:11Z,tier_3_cold
16,fortune.com,91,2044370,2,effy|selectra,4,2022-02-20T15:06:43Z,tier_3_cold
17,theconversation.com,91,2417980,2,france_renov|selectra,13,2020-03-01T23:38:50Z,tier_3_cold
18,ecologie.gouv.fr,90,405598,2,effy|france_renov,852,2022-01-05T12:44:16Z,tier_3_cold
19,autodesk.com,90,5845729,2,effy|hellio,2,2023-09-15T22:39:21Z,tier_3_cold
20,iea.org,90,236646,2,france_renov|sonergia,34,2021-07-02T00:22:51Z,tier_3_cold
21,airbnb.fr,89,2612924,2,effy|france_renov,15,2022-03-28T06:08:23Z,tier_3_cold
22,bfmtv.com,89,10806809,2,france_renov|hellio,392,2021-09-24T20:47:44Z,tier_3_cold
23,francebleu.fr,89,505462,2,france_renov|selectra,201,2019-01-13T07:13:10Z,tier_3_cold
24,similarweb.com,89,3723973,2,selectra|sonergia,2,2015-10-27T09:06:34Z,tier_3_cold
25,data.gouv.fr,88,3328978,2,france_renov|selectra,57,2018-10-09T12:58:35Z,tier_3_cold
26,paris.fr,88,1225774,2,france_renov|selectra,19,2019-04-20T03:22:36Z,tier_3_cold
27,liberation.fr,86,1225059,2,france_renov|selectra,34,2018-01-22T03:47:38Z,tier_3_cold
28,lepoint.fr,86,948765,2,france_renov|hellio,6,2022-07-27T12:37:16Z,tier_3_cold
29,journaldunet.com,86,168924,2,france_renov|selectra,20,2017-11-29T22:15:01Z,tier_3_cold
30,leboncoin.fr,86,24839282,2,france_renov|hellio,8,2025-08-27T11:13:18Z,tier_3_cold
31,marieclaire.fr,85,1466692,2,france_renov|hellio,38,2020-08-27T21:50:55Z,tier_3_cold
32,francenum.gouv.fr,85,189595,2,hellio|selectra,2,2023-10-28T19:17:44Z,tier_3_cold
33,letelegramme.fr,84,1028680,2,effy|france_renov,64,2022-01-03T15:11:46Z,tier_3_cold
34,notaires.fr,84,1182978,2,effy|france_renov,28255,2022-01-05T15:48:24Z,tier_3_cold
35,elle.fr,83,2995440,2,effy|france_renov,3,2022-10-07T03:41:50Z,tier_3_cold
36,apollo.io,83,361429,2,effy|hellio,8,2020-01-11T21:21:45Z,tier_3_cold
37,lavoixdunord.fr,83,978224,2,effy|france_renov,76,2021-12-29T14:46:12Z,tier_3_cold
38,ledauphine.com,82,1129964,2,effy|france_renov,59,2021-01-22T17:17:22Z,tier_3_cold
39,leprogres.fr,82,1228207,2,effy|france_renov,54,2021-02-02T16:12:47Z,tier_3_cold
40,huffingtonpost.fr,82,1286435,2,effy|france_renov,9,2020-10-15T15:14:42Z,tier_3_cold
41,scoop.it,82,89854,2,effy|france_renov,14,2021-09-22T19:34:24Z,tier_3_cold
42,anil.org,82,362377,2,france_renov|sonergia,369,2022-01-05T21:07:00Z,tier_3_cold
43,laprovence.com,81,790624,2,effy|france_renov,20,2022-01-28T06:48:39Z,tier_3_cold
44,lamontagne.fr,80,831767,2,effy|france_renov,15,2022-05-14T07:51:36Z,tier_3_cold
45,estrepublicain.fr,80,507338,2,effy|france_renov,59,2021-01-22T17:32:00Z,tier_3_cold
46,village-justice.com,79,80964,2,effy|sonergia,1027,2017-09-13T06:49:20Z,tier_3_cold
47,mesinfos.fr,76,87292,2,effy|sonergia,10,2023-04-18T04:29:06Z,tier_3_cold
48,ariston.com,76,212943,2,effy|sonergia,4,2025-01-18T09:02:13Z,tier_3_cold
49,marianne.net,76,232755,2,effy|sonergia,3,2019-07-18T23:56:34Z,tier_3_cold
