rank,domain,maxDr,maxTraffic,soleCompetitor,dofollowLinks,firstSeen,pitchAngle
1,t.me,97,21103906,selectra,1,2022-10-09T22:41:02Z,high_authority_press_or_inst
2,paypal.com,95,29551090,selectra,6,2023-11-16T12:16:08Z,high_authority_press_or_inst
3,bsky.app,94,1194457,selectra,1,2024-09-02T10:17:41Z,high_authority_press_or_inst
4,squareup.com,93,3877859,selectra,1,2023-08-16T05:53:06Z,high_authority_press_or_inst
5,airbnb.com,92,12497566,france_renov,3,2022-11-07T11:20:53Z,high_authority_press_or_inst
6,service-public.gouv.fr,92,17211506,france_renov,1233,2025-10-01T04:00:15Z,high_authority_press_or_inst
7,oecd.org,92,801687,france_renov,4,2025-09-22T15:27:32Z,high_authority_press_or_inst
8,mdpi.com,92,1121622,selectra,4,2022-07-26T08:02:15Z,high_authority_press_or_inst
9,ft.com,92,1980746,selectra,10,2020-03-23T13:59:53Z,high_authority_press_or_inst
10,economie.gouv.fr,91,12572084,france_renov,962,2021-12-25T19:56:04Z,high_authority_press_or_inst
11,mastodon.social,91,42412,selectra,2,2018-10-31T06:53:31Z,high_authority_press_or_inst
12,lefigaro.fr,91,15065909,selectra,51,2015-02-26T08:28:52Z,high_authority_press_or_inst
13,impots.gouv.fr,90,8554368,france_renov,143,2022-01-05T21:41:51Z,high_authority_press_or_inst
14,lesechos.fr,90,1275389,france_renov,43,2022-01-07T13:41:21Z,high_authority_press_or_inst
15,arstechnica.com,90,485939,selectra,50,2018-02-01T14:14:19Z,high_authority_press_or_inst
16,lightspeedhq.com,90,242286,selectra,1,2024-08-20T02:32:52Z,high_authority_press_or_inst
17,nationalacademies.org,90,27516,selectra,2,2023-03-08T16:29:00Z,high_authority_press_or_inst
18,geocities.jp,90,106336,selectra,2,2015-11-30T06:12:51Z,high_authority_press_or_inst
19,dnb.com,90,623072,sonergia,1,2024-09-21T04:48:59Z,high_authority_press_or_inst
20,airbnb.co.uk,89,1848527,effy,1,2022-10-27T05:04:35Z,high_authority_press_or_inst
21,laposte.fr,89,5266070,france_renov,2,2025-01-18T10:55:38Z,high_authority_press_or_inst
22,info.gouv.fr,89,1617826,france_renov,73,2024-04-02T19:29:34Z,high_authority_press_or_inst
23,lg.com,89,10435636,france_renov,8,2023-11-04T08:15:50Z,high_authority_press_or_inst
24,travail-emploi.gouv.fr,89,539810,france_renov,3,2024-10-25T21:22:44Z,high_authority_press_or_inst
25,lodgify.com,89,149449,france_renov,2,2024-10-03T05:15:26Z,high_authority_press_or_inst
26,billetweb.fr,88,36707,france_renov,1,2022-10-24T15:44:29Z,high_authority_press_or_inst
27,gouvernement.fr,88,27368,france_renov,79,2021-12-27T19:36:48Z,high_authority_press_or_inst
28,rtve.es,88,10303266,selectra,1,2025-02-14T17:29:22Z,high_authority_press_or_inst
29,francetravail.fr,87,3637529,france_renov,18,2024-02-14T06:38:26Z,high_authority_press_or_inst
30,france.tv,87,3101382,france_renov,3,2022-01-11T23:55:26Z,high_authority_press_or_inst
31,caf.fr,87,4846418,france_renov,52,2022-01-20T12:42:54Z,high_authority_press_or_inst
32,gocardless.com,87,559273,selectra,2,2022-07-18T19:24:01Z,high_authority_press_or_inst
33,splunk.com,87,825504,selectra,1,2022-01-19T06:54:57Z,high_authority_press_or_inst
34,angel.co,87,1560,selectra,3,2019-11-03T13:49:54Z,high_authority_press_or_inst
35,flipboard.com,87,16641,selectra,1,2018-07-10T11:54:34Z,high_authority_press_or_inst
36,assemblee-nationale.fr,86,720217,france_renov,26,2022-01-06T02:23:56Z,high_authority_press_or_inst
37,nzz.ch,86,533548,hellio,2,2025-02-18T16:31:25Z,high_authority_press_or_inst
38,thalesgroup.com,86,290567,selectra,2,2021-11-09T14:56:44Z,high_authority_press_or_inst
39,kraken.com,86,4738382,selectra,1,2026-04-10T23:44:13Z,high_authority_press_or_inst
40,orias.fr,86,24418,selectra,1,2018-05-24T03:18:45Z,high_authority_press_or_inst
41,ansa.it,86,3312922,selectra,3,2018-02-28T21:59:09Z,high_authority_press_or_inst
42,20minutes.fr,86,8453614,selectra,3,2015-03-31T15:18:01Z,high_authority_press_or_inst
43,futura-sciences.com,85,748831,effy,4,2021-09-21T13:11:27Z,high_authority_press_or_inst
44,airbnb.ca,85,986759,effy,2,2022-11-20T14:14:36Z,high_authority_press_or_inst
45,airbnb.com.au,85,579722,effy,1,2022-10-25T01:49:19Z,high_authority_press_or_inst
46,vie-publique.fr,85,549519,france_renov,8,2022-01-12T19:50:27Z,high_authority_press_or_inst
47,inpi.fr,85,423260,france_renov,6,2025-05-22T17:14:54Z,high_authority_press_or_inst
48,wikiwand.com,85,75543,hellio,2,2024-11-13T15:08:20Z,high_authority_press_or_inst
49,lexology.com,85,95186,selectra,1,2025-06-10T09:07:41Z,high_authority_press_or_inst
50,france-renov.gouv.fr,85,154089,sonergia,3,2022-01-05T20:51:46Z,high_authority_press_or_inst
