rank,competitor,urlPattern,nUrls,totalTraffic,avgPosition
1,selectra,/energie/fournisseurs/cdiscount,1,6766,2.0
2,selectra,/energie/propane/fournisseurs,5,5235,1.4
3,selectra,/energie/electricite/compteurs,4,3317,1.3
4,hellio,/blog/conseils/[long-slug],2,2862,7.0
5,hellio,/blog/financement/plafond-cheque-energie,1,2636,1.0
6,hellio,/blog/conseils/robinet-thermostatique,1,2219,1.0
7,hellio,/blog/financement/date-cheque-energie,1,1983,5.0
8,sonergia,/conseils-travaux/isolation/isolation-phonique,1,1854,4.0
9,hellio,/location-logement-classe-e-dpe,1,1791,1.0
10,selectra,/energie/guides/comprendre,1,1680,5.0
11,selectra,/energie/propane/bouteilles,1,1626,6.0
12,hellio,/blog/financement/ma-prime-renov,1,1594,10.0
13,sonergia,/conseils-travaux/isolation/mur,2,1448,5.5
14,hellio,/blog/actualites/interdiction-location-dpe-f-g,1,1436,1.0
15,selectra,/energie,1,1408,1.0
16,hellio,/guide-solaire/aides/prix-panneau-solaire,2,1212,5.5
17,selectra,/finance/guides/banque-en-ligne,1,1109,1.0
18,selectra,/energie/eau/prix,1,1075,1.0
19,hellio,/guide-solaire/types/panneau-plug-and-play,1,1009,9.0
20,hellio,/blog/renovation-energetique/prix-ravalement-facade,1,989,1.0
21,hellio,/blog/actualites/dates-chauffage-collectif,1,963,3.0
22,sonergia,/conseils-travaux/chauffage/pompe-a-chaleur,1,959,5.0
23,selectra,/energie/electricite/consuel-pro,1,955,4.0
24,hellio,/blog/financement/qui-a-droit-cheque-energie,1,947,6.0
25,hellio,/location-logement-classe-f-dpe,1,902,4.0
26,hellio,/guide-solaire/utilisation/panneau-solaire-voiture,1,849,1.0
27,selectra,/energie/fournisseurs/plenitude,1,822,7.0
28,selectra,/energie/fournisseurs/es-strasbourg,1,801,9.0
29,selectra,/telecom/aide/changer-numero,1,786,1.0
30,hellio,/definition-zone-climatique-cee,1,749,1.0
