rank,keyword,volume,kd,cluster,matchedRoute,matchedFile,bestCompetitor,reason
1,gaz passerelle,15000,0,autre,,,none,no-hub-mapping
2,renovation appartement,2400,6,autre,,,none,no-hub-mapping
3,monte escalier electrique,2000,12,autre,,,none,no-hub-mapping
4,tete thermostatique connectée,1900,0,autre,,,none,no-hub-mapping
5,renov habitat,900,7,autre,,,none,no-hub-mapping
6,cuve a fioul,900,0,autre,,,none,no-hub-mapping
7,isoler un mur intérieur,800,2,autre,,,none,no-hub-mapping
8,isoler un garage,800,0,autre,,,none,no-hub-mapping
9,comment isoler un mur intérieur,700,2,autre,,,none,no-hub-mapping
10,renovation interieur,600,2,autre,,,none,no-hub-mapping
11,comment isoler un mur,600,6,autre,,,none,no-hub-mapping
12,robinet thermostatique connecté,600,0,autre,,,none,no-hub-mapping
13,francerenov,600,6,autre,,,none,no-hub-mapping
14,entreprise renovation,600,1,autre,,,none,no-hub-mapping
15,isoler un mur,500,1,autre,,,none,no-hub-mapping
16,france renovation,450,5,autre,,,none,no-hub-mapping
17,panneau extrudé,350,0,autre,,,sonergia,no-hub-mapping
18,doit on rembourser les aides de l'anah,300,2,autre,,,sonergia,no-hub-mapping
19,mon accompagnateur renov,300,14,autre,,,none,no-hub-mapping
