rank,url,nKw,totalLostTraffic,sumVolumeLost,topKw,topKwVolume
1,https://servicesartisans.fr/departements/creuse/facadier,2,6,3500,facadier,2500
2,https://servicesartisans.fr/blog/comment-deboucher-wc-guide,1,12,2200,comment deboucher wc,2200
3,https://servicesartisans.fr/questions/prix-pose-carrelage-m2,1,0,1700,prix pose carrelage,1700
4,https://servicesartisans.fr/tarifs/serrurier/pantin,1,0,700,serrurier pantin,700
5,https://servicesartisans.fr/tarifs/serrurier/vieux-habitants,1,0,700,prix serrurier,700
6,https://servicesartisans.fr/avis/serrurier/aix-les-bains,1,0,600,serrurier aix-les-bains,600
7,https://servicesartisans.fr/urgence/plombier/biarritz,1,0,400,plombier biarritz,400
8,https://servicesartisans.fr/services/plombier/besancon,1,0,400,plombier besancon,400
9,https://servicesartisans.fr/urgence/serrurier/sevran,1,1,350,serrurier sevran,350
10,https://servicesartisans.fr/urgence/plombier/saint-julien-en-genevois,1,10,200,plomberie urgence,200
11,https://servicesartisans.fr/services/plombier/gonesse,1,0,200,plombier gonesse,200
12,https://servicesartisans.fr/services/solier/vence/eric-corniglion-327758421,1,2,100,eric corniglion,100
13,https://servicesartisans.fr/avis/vitrier/aubergenville,1,4,90,vitrier aubergenville,90
14,https://servicesartisans.fr/services/serrurier/paimpol,1,2,90,serrurier paimpol,90
15,https://servicesartisans.fr/regions/pays-de-la-loire/cuisiniste,1,3,80,cuisiniste pays de la loire,80
16,https://servicesartisans.fr/avis/vitrier/roquevaire,1,3,80,vitrier roquevaire,80
17,https://servicesartisans.fr/services/domoticien/villeneuve-sur-lot,1,2,80,domotique villeneuve sur lot,80
18,https://servicesartisans.fr/blog/comment-installer-prise-electrique,1,2,70,installation prise,70
19,https://servicesartisans.fr/tarifs/vitrier/viroflay,1,2,70,vitrier viroflay,70
20,https://servicesartisans.fr/services/vitrier/gien,1,1,70,vitrier gien,70
21,https://servicesartisans.fr/services/serrurier/mont-saint-aignan,1,1,50,serrurier mont saint aignan,50
22,https://servicesartisans.fr/problemes/fissure-mur/angers,1,1,50,réparation fissure façade angers,50
23,https://servicesartisans.fr/avis/plombier/magny-le-hongre,1,1,50,plombier magny le hongre,50
