region,nb_rge,with_email,with_phone,multi_qualif
INCONNU,28928,28871,27756,18877
Auvergne-Rhône-Alpes,376,376,361,226
Hauts-de-France,181,181,167,122
Bourgogne-Franche-Comté,156,156,154,114
Nouvelle-Aquitaine,110,110,106,71
Île-de-France,48,48,48,41
11,32,32,32,25
Normandie,25,25,23,24
Provence-Alpes-Côte d'Azur,24,24,24,21
Bretagne,21,21,21,19
Auvergne-Rhone-Alpes,21,21,21,18
Occitanie,21,21,21,20
Pays de la Loire,17,17,17,15
Grand Est,9,9,9,9
Centre-Val de Loire,8,8,8,8
Bourgogne-Franche-Comte,8,8,8,6
Ile-de-France,6,6,6,6
Provence-Alpes-Cote d'Azur,4,4,4,4
93,1,1,1,1
24,1,1,1,1
Corse,1,1,1,1
28,1,1,1,1
84,1,1,1,0
