rank,competitor,pattern,nUrls,totalKwPaid
1,effy,/parcours/1/travaux-aides,3,666
2,effy,/lp/generique/aides,1,507
3,effy,/guide/aides-renovation,1,483
4,effy,/lp/isolation/isolation-des-murs,1,425
5,engiehs,/particulier/landing/[long-slug],2,382
6,effy,/prime-effy-lp,1,172
7,effy,/travaux-energetique/isolation/isolation-murs,3,153
8,effy,/lp/isolation/isolation-des-combles,1,129
9,effy,/nos-offres/prime-effy,1,58
10,effy,/lp/chauffage/pab-pag-newform,1,44
11,engiehs,/particulier/installation/pompe-a-chaleur-air-eau,1,39
12,engiehs,/particulier/installation/adoucisseur-d-eau,1,37
13,effy,/lp/isolation/fenetres-newform,1,33
14,effy,/aide-energetique/ma-prime-renov/bareme,1,29
15,effy,/lp/chauffage/pompe-a-chaleur,1,27
16,effy,/aide-energetique/eco-ptz,1,22
17,effy,/aide-energetique/ma-prime-renov/poele-a-granules,1,19
18,effy,/lp/chauffage/[long-slug],1,18
19,effy,/lp/chauffage/clim-newform,1,16
20,effy,/travaux-energetique/isolation/isolation-phonique,1,14
