keyword,volume,kd,cpc,n_comps,best_competitor,best_position,score,segment,comps_present
dpe location,6800,2,45,4,sonergia,2,130.2,yes,"effy,france_renov,hellio,sonergia"
chèque énergie 2024,27000,7,55,3,sonergia,18,127.5,no,"effy,hellio,sonergia"
thermostat,18000,2,20,3,sonergia,7,126.5,yes,"france_renov,hellio,sonergia"
isolation interieur,3600,4,68,4,france_renov,4,125.3,yes,"effy,france_renov,hellio,sonergia"
dpe,89000,55,67,3,hellio,19,124.2,yes,"effy,france_renov,hellio"
edf oa solaire,14000,5,69,3,hellio,2,123.9,yes,"effy,hellio,selectra"
isolation par l'extérieur,13000,5,178,3,france_renov,1,123.4,yes,"effy,france_renov,hellio"
système solaire combiné,2400,2,104,4,france_renov,5,123.4,yes,"effy,france_renov,hellio,sonergia"
prime energie edf,11000,2,81,3,hellio,2,123.3,yes,"france_renov,hellio,selectra"
ravalement de façade,11000,3,151,3,effy,5,123.0,yes,"effy,france_renov,hellio"
ma prime renov,57000,67,136,3,france_renov,4,121.3,yes,"effy,france_renov,hellio"
pompe a chaleur air eau,11000,12,143,3,sonergia,5,120.0,yes,"effy,france_renov,sonergia"
prime cee edf,6300,2,87,3,france_renov,19,119.7,yes,"effy,france_renov,hellio"
isolation mur,1300,2,96,4,france_renov,3,119.4,yes,"effy,france_renov,hellio,sonergia"
prime cee,8500,48,115,4,hellio,8,118.9,yes,"effy,france_renov,hellio,sonergia"
prime energie 2025,5600,32,74,4,hellio,3,118.9,yes,"effy,france_renov,hellio,sonergia"
pompe à chaleur prix,4700,1,94,3,sonergia,9,118.1,yes,"effy,hellio,sonergia"
maprimerenov,28000,64,128,3,hellio,4,116.7,yes,"effy,france_renov,hellio"
pac air air,4000,4,96,3,france_renov,11,116.0,no,"effy,france_renov,hellio"
isolation combles,4100,5,124,3,france_renov,1,115.9,yes,"effy,france_renov,hellio"
dpe obligatoire,4800,39,35,4,hellio,5,115.6,yes,"effy,france_renov,hellio,sonergia"
isolation exterieur maison,3700,4,189,3,france_renov,1,115.5,yes,"effy,france_renov,hellio"
renovation maison,6700,16,48,3,france_renov,4,115.4,yes,"effy,france_renov,hellio"
vmc simple flux,15000,2,4,4,hellio,2,115.3,yes,"effy,france_renov,hellio,sonergia"
qualit'enr,3100,2,83,3,hellio,5,115.0,no,"effy,france_renov,hellio"
chaudière biomasse,2800,0,26,3,sonergia,15,115.0,yes,"effy,hellio,sonergia"
prime renov,21000,66,113,3,effy,3,114.8,yes,"effy,france_renov,hellio"
isolation des combles,3600,6,124,3,france_renov,1,114.7,yes,"effy,france_renov,hellio"
pompe à chaleur air air,3400,5,94,3,effy,2,114.6,yes,"effy,france_renov,hellio"
chaudière electrique,2400,0,37,3,sonergia,17,114.0,yes,"effy,hellio,sonergia"
prix pompe a chaleur air eau,2400,1,116,3,effy,2,113.7,yes,"effy,france_renov,sonergia"
qualipac,2600,3,157,3,effy,9,113.6,yes,"effy,france_renov,hellio"
ballon d'eau chaude thermodynamique,2300,2,25,3,france_renov,6,113.1,no,"effy,france_renov,hellio"
aide panneau solaire,3700,13,43,3,effy,2,112.5,yes,"effy,france_renov,hellio"
entreprise rge,2200,34,94,4,france_renov,1,112.1,yes,"effy,france_renov,hellio,sonergia"
isolation 1 euro,2000,3,202,3,effy,1,111.8,yes,"effy,hellio,sonergia"
chaudière à granulés,2200,6,61,3,effy,9,111.5,yes,"effy,france_renov,hellio"
vmc,48000,7,9,3,france_renov,9,111.2,yes,"effy,france_renov,hellio"
ma prime renov 2026,12000,69,127,3,france_renov,4,111.2,yes,"effy,france_renov,hellio"
isolation sous toiture,1500,0,59,3,effy,9,111.0,yes,"effy,france_renov,hellio"
isolation thermique extérieure,1400,1,139,3,france_renov,3,110.2,yes,"effy,france_renov,hellio"
insert bois,1400,2,32,3,france_renov,5,109.9,no,"effy,france_renov,hellio"
france rénov,1900,8,126,3,france_renov,1,109.8,no,"effy,france_renov,hellio"
dpe maison,5500,30,67,3,effy,1,109.4,yes,"effy,france_renov,sonergia"
pompe a chaleur air eau prix,1300,2,116,3,sonergia,10,109.4,yes,"effy,france_renov,sonergia"
panneau solaire hybride,1400,4,106,3,effy,5,109.2,yes,"effy,france_renov,hellio"
diagnostic énergétique,8600,53,94,3,effy,2,109.0,no,"effy,france_renov,hellio"
dpe e,4800,1,6,4,effy,2,108.2,yes,"effy,france_renov,hellio,sonergia"
bilan energetique,1800,12,92,3,france_renov,1,108.2,yes,"effy,france_renov,hellio"
isolation extérieur,1200,4,187,3,france_renov,3,108.2,yes,"effy,france_renov,hellio"
isolation thermique par l'extérieur,1400,8,136,3,france_renov,1,107.9,yes,"effy,france_renov,hellio"
prime énergie,1500,53,90,4,hellio,8,107.6,yes,"effy,france_renov,hellio,sonergia"
diagnostic de performance énergétique,6400,44,94,3,effy,1,107.1,no,"effy,france_renov,hellio"
ma prime renov 2024,6300,77,127,3,effy,4,107.0,yes,"effy,france_renov,hellio"
consommation pompe a chaleur,3300,1,5,4,effy,2,105.8,yes,"effy,france_renov,hellio,sonergia"
ma prime rénov,4300,67,123,3,france_renov,3,104.5,yes,"effy,france_renov,hellio"
rénovation énergétique,4200,40,108,3,effy,1,104.3,no,"effy,france_renov,hellio"
chauffage pompe à chaleur,1100,14,25,3,france_renov,3,104.3,yes,"effy,france_renov,hellio"
ma prime rénov 2025,4100,49,149,3,france_renov,3,104.2,yes,"effy,france_renov,hellio"
audit énergétique,3000,35,92,3,france_renov,6,103.8,no,"effy,france_renov,hellio"
polystyrène extrudé,11000,1,3,3,hellio,11,103.6,no,"effy,hellio,sonergia"
audit énergétique obligatoire,1500,22,31,3,hellio,7,103.6,no,"effy,france_renov,hellio"
chèque énergie 2025 date,14000,6,13,3,hellio,11,103.5,no,"effy,hellio,selectra"
rge qualibat,2600,34,61,3,france_renov,5,103.2,yes,"effy,france_renov,hellio"
mar,11000,3,19,3,france_renov,1,103.0,no,"effy,france_renov,hellio"
diagnostic dpe,3300,55,111,3,france_renov,10,102.8,yes,"effy,france_renov,hellio"
prime panneau solaire,1500,26,28,3,hellio,7,102.3,yes,"effy,hellio,sonergia"
renovation,3000,69,70,3,france_renov,3,102.2,yes,"effy,france_renov,hellio"
audit energetique,2300,38,92,3,france_renov,7,101.1,yes,"effy,france_renov,hellio"
maprimerenov 2026,2300,68,107,3,france_renov,3,100.4,yes,"effy,france_renov,hellio"
ma prime renov simulation,2200,72,211,3,france_renov,2,100.1,yes,"effy,france_renov,hellio"
certificat d'économie d'énergie,1500,33,109,3,france_renov,8,100.0,yes,"effy,france_renov,hellio"
prime energie,1800,58,87,3,france_renov,3,98.8,yes,"effy,france_renov,hellio"
aide isolation exterieur,1700,58,76,3,effy,2,98.5,yes,"effy,france_renov,hellio"
maprimrenov,1600,77,128,3,france_renov,4,98.1,yes,"effy,france_renov,hellio"
ma prime rénov mon compte,1500,60,77,3,hellio,4,97.6,yes,"effy,france_renov,hellio"
ma prime renov 2025,1500,65,149,3,france_renov,3,97.6,yes,"effy,france_renov,hellio"
passoire thermique,3000,1,8,3,hellio,10,95.2,no,"effy,hellio,sonergia"
isolant mince,2800,0,6,3,effy,2,95.0,yes,"effy,hellio,sonergia"
chauffage d'appoint économique,2200,0,8,3,hellio,6,93.5,yes,"effy,hellio,sonergia"
dpe d,2100,1,6,3,effy,3,92.8,yes,"effy,hellio,sonergia"
tete thermostatique,1700,0,16,3,france_renov,3,91.8,yes,"france_renov,hellio,sonergia"
résistance thermique,1700,1,2,3,sonergia,1,91.5,no,"effy,hellio,sonergia"
dpe f,1500,0,2,3,effy,3,91.0,yes,"effy,france_renov,hellio"
isolation garage,1500,0,19,3,france_renov,4,91.0,yes,"effy,france_renov,sonergia"
laine de verre ou laine de roche,1200,1,5,3,hellio,9,89.2,no,"effy,hellio,sonergia"
plafond cheque energie,2600,31,2,3,hellio,1,84.2,yes,"effy,hellio,sonergia"
validite dpe,1400,39,1,3,effy,8,77.5,yes,"effy,hellio,sonergia"
dpe obligatoire location,1200,37,6,3,effy,13,77.2,yes,"effy,hellio,sonergia"
installation panneaux solaire,1300,55,0,3,hellio,2,76.7,yes,"effy,hellio,sonergia"
durée validité dpe,1200,39,1,3,effy,9,76.5,yes,"effy,hellio,sonergia"
