keyword,volume,kd,cpc,intent_trans,intent_comm,intent_info,hellio_pos,sonergia_pos,selectra_pos,effy_pos,france_renov_pos,sa_pos,best_url_competitor
plafond cheque energie,2600,31,2,False,False,True,1,,,,,,https://particulier.hellio.com/blog/financement/plafond-cheque-energie
robinet thermostatique,8600,0,12,False,True,True,1,,,,8,,https://copropriete.hellio.com/blog/conseils/robinet-thermostatique
ma prime renov,57000,67,136,False,False,True,10,,,7,4,,https://particulier.hellio.com/blog/financement/ma-prime-renov
seche linge pompe a chaleur,17000,1,21,False,True,True,2,,,,,,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation
panneau solaire plug and play,14000,8,52,False,True,True,9,,,,,,https://particulier.hellio.com/guide-solaire/types/panneau-plug-and-play
dpe e location,1400,1,2,False,False,True,1,,,,,,https://faq.hellio.com/location-logement-classe-e-dpe
ombrière photovoltaique,1400,2,110,False,False,True,1,,,,,,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-voiture/ombriere-photovoltaique
ma prime renov 2026,12000,69,127,False,False,True,9,,,11,4,,https://particulier.hellio.com/blog/financement/maprimerenov-2026
seche linge condensation,15000,0,16,False,True,True,7,,,,,,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation
ma prime renov 2024,6300,77,127,False,False,True,6,,,4,4,,https://particulier.hellio.com/blog/financement/maprimerenov-2024
dpe f location,900,4,1,False,False,True,1,,,,,,https://copropriete.hellio.com/blog/actualites/interdiction-location-dpe-f-g
location dpe f,800,3,1,False,False,True,1,,,,,,https://copropriete.hellio.com/blog/actualites/interdiction-location-dpe-f-g
aide panneau solaire,3700,13,43,False,False,True,4,,,,,,https://particulier.hellio.com/guide-solaire/aides/prix-panneau-solaire/gratuit
ma prime rénov 2025,4100,49,149,False,False,True,5,,,,3,,https://particulier.hellio.com/blog/financement/maprimerenov-2025
dpe obligatoire,4800,39,35,False,False,True,5,,,,,,https://particulier.hellio.com/blog/conseils/dpe-obligatoire
location dpe e,700,1,1,False,False,True,1,,,,,,https://faq.hellio.com/location-logement-classe-e-dpe
