domain,tier,dr,traffic_domain,n_competitors_linking,linked_competitors,priority_score
actu.fr,tier4_general,87,2113936,5,"effy,france_renov,hellio,selectra,sonergia",58.7
futura-sciences.com,tier4_general,85,748831,5,"effy,france_renov,hellio,selectra,sonergia",58.5
pole-emploi.fr,tier4_general,84,65421,5,"effy,france_renov,hellio,selectra,sonergia",58.4
lefigaro.fr,tier1_press,91,15065909,4,"effy,france_renov,hellio,selectra",49.1
ouest-france.fr,tier4_general,90,20654020,4,"effy,france_renov,hellio,selectra",49.0
radiofrance.fr,tier4_general,90,7412330,4,"effy,france_renov,hellio,selectra",49.0
lesechos.fr,tier1_press,90,1275389,4,"effy,france_renov,hellio,selectra",49.0
leparisien.fr,tier4_general,89,3366259,4,"effy,france_renov,hellio,selectra",48.9
bfmtv.com,tier1_press,89,10806809,4,"effy,france_renov,hellio,selectra",48.9
francebleu.fr,tier4_general,89,505462,4,"effy,france_renov,hellio,selectra",48.9
e-monsite.com,tier4_general,88,169193,4,"effy,france_renov,hellio,selectra",48.8
ausha.co,tier4_general,87,57368,4,"effy,france_renov,hellio,selectra",48.7
liberation.fr,tier1_press,86,1225059,4,"effy,france_renov,hellio,selectra",48.6
com.ru,tier4_general,86,1419118,4,"effy,france_renov,hellio,selectra",48.6
lepoint.fr,tier4_general,86,948765,4,"effy,france_renov,hellio,selectra",48.6
canalblog.com,tier4_general,86,84315,4,"effy,france_renov,hellio,selectra",48.6
20minutes.fr,tier4_general,86,8453614,4,"effy,france_renov,hellio,selectra",48.6
simplypsychology.org,tier4_general,85,1755189,4,"effy,france_renov,hellio,selectra",48.5
latribune.fr,tier4_general,84,307044,4,"effy,france_renov,hellio,selectra",48.4
cloudfront.net,tier4_general,94,1871289,3,"effy,france_renov,selectra",39.4
bing.com,tier4_general,93,29123574,3,"hellio,selectra,sonergia",39.3
msn.com,tier4_general,92,28130870,3,"france_renov,hellio,selectra",39.2
jimdofree.com,tier4_general,92,2326014,3,"france_renov,hellio,selectra",39.2
indeed.com,tier4_general,92,126176264,3,"effy,france_renov,selectra",39.2
webflow.io,tier4_general,92,786783,3,"effy,france_renov,selectra",39.2
herokuapp.com,tier4_general,91,504412,3,"france_renov,hellio,selectra",39.1
lemonde.fr,tier1_press,91,7399248,3,"effy,france_renov,selectra",39.1
appspot.com,tier4_general,90,1983453,3,"effy,hellio,selectra",39.0
francetvinfo.fr,tier4_general,90,2328,3,"effy,france_renov,hellio",39.0
ovh.net,tier4_general,90,257636,3,"france_renov,hellio,selectra",39.0
similarweb.com,tier4_general,89,3723973,3,"hellio,selectra,sonergia",38.9
orange.fr,tier4_general,88,9625703,3,"effy,france_renov,selectra",38.8
francetravail.fr,tier4_general,87,3637529,3,"france_renov,hellio,sonergia",38.7
welcometothejungle.com,tier4_general,86,485536,3,"effy,hellio,selectra",38.6
ladepeche.fr,tier4_general,86,2576150,3,"effy,france_renov,selectra",38.6
wikiwand.com,tier4_general,85,75543,3,"france_renov,hellio,selectra",38.5
lexpress.fr,tier4_general,85,290936,3,"france_renov,hellio,selectra",38.5
avis-verifies.com,tier4_general,85,153778,3,"effy,hellio,sonergia",38.5
capital.fr,tier1_press,84,501989,3,"effy,france_renov,hellio",38.4
challenges.fr,tier1_press,82,202276,3,"effy,france_renov,hellio",38.2
rtl.fr,tier4_general,82,1867904,3,"effy,france_renov,hellio",38.2
europa.eu,tier4_general,96,17249492,2,"france_renov,sonergia",29.6
wixsite.com,tier4_general,94,1873120,2,"france_renov,selectra",29.4
substack.com,tier4_general,93,10480057,2,"france_renov,selectra",29.3
zendesk.com,tier4_general,93,2648850,2,"france_renov,selectra",29.3
vercel.app,tier4_general,93,2005956,2,"france_renov,selectra",29.3
jimdo.com,tier4_general,92,394667,2,"hellio,selectra",29.2
hostingersite.com,tier4_general,92,18914,2,"france_renov,selectra",29.2
airbnb.com,tier4_general,92,12497566,2,"effy,france_renov",29.2
aol.com,tier4_general,91,13726734,2,"hellio,selectra",29.1
azurewebsites.net,tier4_general,91,712622,2,"france_renov,selectra",29.1
free.fr,tier4_general,91,10327970,2,"france_renov,selectra",29.1
fortune.com,tier4_general,91,2044370,2,"effy,selectra",29.1
theconversation.com,tier4_general,91,2417980,2,"france_renov,selectra",29.1
autodesk.com,tier4_general,90,5845729,2,"effy,hellio",29.0
dnb.com,tier4_general,90,623072,2,"hellio,sonergia",29.0
iea.org,tier4_general,90,236646,2,"france_renov,sonergia",29.0
euronews.com,tier4_general,90,3413015,2,"france_renov,selectra",29.0
ecologie.gouv.fr,tier3_inst,90,405598,2,"effy,france_renov",29.0
jimdosite.com,tier4_general,90,201414,2,"effy,france_renov",29.0
live-website.com,tier4_general,89,12792,2,"france_renov,selectra",28.9
insee.fr,tier4_general,89,1208626,2,"france_renov,selectra",28.9
main.jp,tier4_general,89,330757,2,"effy,selectra",28.9
pagesjaunes.fr,tier4_general,89,10297983,2,"effy,france_renov",28.9
airbnb.fr,tier4_general,89,2612924,2,"effy,france_renov",28.9
data.gouv.fr,tier3_inst,88,3328978,2,"france_renov,selectra",28.8
paris.fr,tier4_general,88,1225774,2,"france_renov,selectra",28.8
developpement-durable.gouv.fr,tier3_inst,88,323764,2,"france_renov,selectra",28.8
slashdot.org,tier4_general,87,120245,2,"hellio,selectra",28.7
openedition.org,tier4_general,87,340355,2,"france_renov,selectra",28.7
france.tv,tier4_general,87,3101382,2,"france_renov,selectra",28.7
aol.co.uk,tier4_general,86,309591,2,"hellio,selectra",28.6
leboncoin.fr,tier4_general,86,24839282,2,"france_renov,hellio",28.6
journaldunet.com,tier1_press,86,168924,2,"france_renov,selectra",28.6
francenum.gouv.fr,tier3_inst,85,189595,2,"hellio,selectra",28.5
beta.gouv.fr,tier3_inst,85,299238,2,"france_renov,hellio",28.5
marieclaire.fr,tier4_general,85,1466692,2,"france_renov,hellio",28.5
