competitor,url,keywords_paid,segment_match,url_intent_hint
effy,https://www.effy.fr/lp/generique/aides/prime-cee,507,yes,landing_page
effy,https://www.effy.fr/guide/aides-renovation,483,yes,aide
effy,https://www.effy.fr/lp/isolation/isolation-des-murs/isolation-exterieure/aides-newform,425,yes,landing_page
effy,https://www.effy.fr/parcours/1/travaux-aides/logement-type?theme=clim&climatisation,393,yes,funnel_devis
effy,https://www.effy.fr/parcours/1/travaux-aides,243,yes,funnel_devis
effy,https://www.effy.fr/prime-effy-lp,172,yes,aide
effy,https://www.effy.fr/,144,no,other
effy,https://www.effy.fr/lp/isolation/isolation-des-combles/1-euro-newform,129,yes,landing_page
effy,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/moisissure-mur,108,yes,travaux
effy,https://www.effy.fr/boutique/collections/all,58,no,other
effy,https://www.effy.fr/nos-offres/prime-effy,58,yes,aide
effy,https://www.effy.fr/lp/chauffage/pab-pag-newform,44,yes,landing_page
effy,https://www.effy.fr/parcours/1/travaux-aides/,36,yes,funnel_devis
effy,https://www.effy.fr/lp/isolation/fenetres-newform,33,yes,landing_page
effy,http://effy.fr/parcours/1/travaux-aides/,30,yes,funnel_devis
effy,https://www.effy.fr/aide-energetique/ma-prime-renov/bareme,29,yes,aide
effy,https://www.effy.fr/lp/chauffage/pompe-a-chaleur/pompe-a-chaleur-air-eau-newform,27,yes,landing_page
effy,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/par-l-exterieur/faire-isolation-exterieure-soi-meme,24,yes,travaux
effy,https://www.effy.fr/aide-energetique/eco-ptz,22,yes,aide
effy,https://www.effy.fr/renovation-energetique/etiquette-energie-logement,22,yes,other
effy,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/par-l-interieur/sans-perdre-de-place,21,yes,travaux
effy,https://web.effy.fr/pro/contactez-nous,19,no,other
effy,https://www.effy.fr/aide-energetique/ma-prime-renov/poele-a-granules,19,yes,aide
effy,https://www.effy.fr/renovation-energetique/zoom-sur-la-methode-de-calcul-en-2022,18,yes,other
effy,https://www.effy.fr/lp/chauffage/chauffe-eau-thermodynamique-newform,18,yes,landing_page
effy,https://www.effy.fr/lp/chauffage/clim-newform,16,yes,landing_page
effy,https://www.effy.fr/travaux-energetique/isolation/isolation-phonique,14,yes,travaux
effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/pac-air-air-ou-climatisation,13,yes,travaux
effy,https://www.effy.fr/travaux-energetique/chauffe-eau/capacite,13,yes,travaux
effy,https://www.effy.fr/aide-energetique/volets-roulants,12,yes,aide
effy,https://www.effy.fr/renovation-energetique/residence-secondaire-aides,12,yes,other
effy,https://www.effy.fr/aide-energetique/anah,11,yes,aide
effy,https://www.effy.fr/lp/chauffage/insert-cheminee-newform,11,yes,landing_page
effy,https://www.effy.fr/aide-energetique/anah/faq,10,yes,aide
effy,https://www.effy.fr/aide-energetique/ma-prime-renov/ventilation-double-flux,10,yes,aide
effy,https://www.effy.fr/travaux-energetique/isolation/isolation-toit/toiture-terrasse/aides/renovation,10,yes,aide
effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/geothermie-prix,10,yes,travaux
effy,https://www.effy.fr/aide-energetique/prime-energie/qui-peut-obtenir-la-prime-cee,10,yes,aide
effy,https://www.effy.fr/aide-energetique/climatisation-reversible,9,yes,aide
effy,https://www.effy.fr/lp/generique/aides/ma-prime-renov-v2,9,yes,landing_page
effy,https://www.effy.fr/travaux-energetique/climatisation/clim-reversible/consommation,9,yes,travaux
effy,https://www.effy.fr/magazine/prix-energie-electricite,9,yes,content
effy,https://www.effy.fr/parcours/1/travaux-aides?theme=fenetre&aides,9,yes,funnel_devis
effy,https://www.effy.fr/travaux-energetique/solaire/difference-chauffage-solaire-et-photovoltaique,8,yes,travaux
effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/fonctionnement-pompe-a-chaleur,8,yes,travaux
effy,https://www.effy.fr/magazine/actualite/cheque-energie-2025,8,yes,content
effy,https://www.effy.fr/aide-energetique/ma-prime-renov/poele-a-bois,8,yes,aide
effy,https://www.effy.fr/renovation-energetique/calcul-performance-energetique,8,yes,other
effy,https://www.effy.fr/travaux-energetique/climatisation/devis,7,yes,funnel_devis
effy,https://www.effy.fr/travaux-energetique/climatisation/clim-reversible/meilleure,7,yes,travaux
effy,https://www.effy.fr/parcours/1/travaux-aides?theme=fenetre,7,yes,funnel_devis
effy,https://www.effy.fr/renovation-energetique/chauffage/radiateur/meilleur-radiateur-electrique,7,yes,other
