nom,email,telephone,adresse,code_insee,site_web
Chambre de métiers et de l'artisanat (CMA) - Isère - Vienne,contact.isere@cma-auvergnerhonealpes.fr,"[{""valeur"": ""09 86 86 30 06"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""27 rue Denfert-Rochereau"", ""service_distribution"": """", ""code_postal"": ""38200"", ""nom_commune"": ""Vienne"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""4.866525"", ""latitude"": ""45.514648""}]",38544,"[{""libelle"": """", ""valeur"": ""https://www.cma-auvergnerhonealpes.fr/""}]"
Chambre de métiers et de l'artisanat (CMA) - Gard,chambre-de-metiers@cma-gard.fr,"[{""valeur"": ""04 66 62 80 00"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""904 avenue du Maréchal-Juin"", ""service_distribution"": """", ""code_postal"": ""30908"", ""nom_commune"": ""Nîmes"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""4.345833"", ""latitude"": ""43.820409""}, {""type_adresse"": ""Adresse postale"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""904 avenue du Maréchal-Juin"", ""service_distribution"": ""CS 83012"", ""code_postal"": ""30908"", ""nom_commune"": ""Nîmes Cedex 2"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": """", ""latitude"": """"}]",30189,"[{""libelle"": """", ""valeur"": ""http://www.cma-gard.fr""}]"
Chambre de métiers et de l'artisanat (CMA) - Vienne,bonjour@cma-nouvelle-aquitaine.fr,"[{""valeur"": ""05 49 88 13 01"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""19 rue Salvador-Allende"", ""service_distribution"": """", ""code_postal"": ""86000"", ""nom_commune"": ""Poitiers"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""0.373578995466"", ""latitude"": ""46.581199646""}]",86194,"[{""libelle"": """", ""valeur"": ""https://cma-nouvelleaquitaine.fr/""}]"
Chambre de métiers et de l'artisanat (CMA) - Tarn,contact@cm-tarn.fr,"[{""valeur"": ""05 63 48 43 53"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""112 route des Templiers"", ""service_distribution"": """", ""code_postal"": ""81990"", ""nom_commune"": ""Cunac"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""2.219504"", ""latitude"": ""43.9228677""}, {""type_adresse"": ""Adresse postale"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""112 route des Templiers"", ""service_distribution"": ""CS 22340"", ""code_postal"": ""81020"", ""nom_commune"": ""Albi Cedex 9"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": """", ""latitude"": """"}]",81004,"[{""libelle"": """", ""valeur"": ""https://www.cm-tarn.fr/""}]"
Chambre de métiers et de l'artisanat (CMA) - Guadeloupe,sgstc@cmguadeloupe.org,"[{""valeur"": ""05 90 80 23 33"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": ""Cité de la Connaissance - Desmarais"", ""numero_voie"": """", ""service_distribution"": """", ""code_postal"": ""97120"", ""nom_commune"": ""Saint-Claude"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""-61.526973"", ""latitude"": ""16.255251""}]",97124,"[{""libelle"": """", ""valeur"": ""https://cmarguadeloupe.org/""}]"
Chambre de métiers et de l'artisanat (CMA) - Gers,contact@cma-gers.fr,"[{""valeur"": ""05 62 61 22 22"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""1 avenue de la République"", ""service_distribution"": """", ""code_postal"": ""32550"", ""nom_commune"": ""Pavie"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""0.594048"", ""latitude"": ""43.605295""}]",32307,"[{""libelle"": """", ""valeur"": ""http://www.cma-gers.fr""}]"
Chambre de métiers et de l'artisanat (CMA) - Puy-de-Dôme,contact.puydedome@cma-auvergnerhomealpes.fr,"[{""valeur"": ""04 73 31 52 00"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": ""17 boulevard Berthelot"", ""complement2"": """", ""numero_voie"": ""Immeuble Jean-Paquet"", ""service_distribution"": """", ""code_postal"": ""63400"", ""nom_commune"": ""Chamalières"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""3.071566"", ""latitude"": ""45.779363""}, {""type_adresse"": ""Adresse postale"", ""complement1"": ""17 boulevard Berthelot"", ""complement2"": """", ""numero_voie"": ""Immeuble Jean-Paquet"", ""service_distribution"": """", ""code_postal"": ""63407"", ""nom_commune"": ""Chamalières Cedex"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": """", ""latitude"": """"}]",63075,"[{""libelle"": """", ""valeur"": ""https://www.cma-auvergnerhonealpes.fr/cma/cma-puy-de-dome/""}]"
Chambre de métiers et de l'artisanat (CMA) - Vendée,accueil85@artisanatpaysdelaloire.fr,"[{""valeur"": ""02 51 44 35 00"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""35 Rue Sarah Bernhardt"", ""service_distribution"": """", ""code_postal"": ""85000"", ""nom_commune"": ""La Roche-sur-Yon"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""-1.4453569"", ""latitude"": ""46.6646681""}, {""type_adresse"": ""Adresse postale"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""35 Rue Sarah Bernhardt"", ""service_distribution"": ""CS 90075"", ""code_postal"": ""85002"", ""nom_commune"": ""La Roche-sur-Yon Cedex"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": """", ""latitude"": """"}]",85191,"[{""libelle"": """", ""valeur"": ""http://www.artisanatpaysdelaloire.fr""}]"
Chambre de métiers et de l'artisanat (CMA) - Hautes-Alpes,contact@cmar-paca.fr,"[{""valeur"": ""04 84 31 00 00"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""37 square Voltaire"", ""service_distribution"": """", ""code_postal"": ""05000"", ""nom_commune"": ""Gap"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""6.07670021057"", ""latitude"": ""44.5569000244""}, {""type_adresse"": ""Adresse postale"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""37 square Voltaire"", ""service_distribution"": ""CS 70168"", ""code_postal"": ""05005"", ""nom_commune"": ""Gap Cedex"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": """", ""latitude"": """"}]",05061,"[{""libelle"": """", ""valeur"": ""https://www.cmar-paca.fr""}]"
Chambre de métiers et de l'artisanat (CMA) - Bouches-du-Rhône,contact13@cmar-paca.fr,"[{""valeur"": ""04 91 32 24 24"", ""description"": """"}]","[{""type_adresse"": ""Adresse"", ""complement1"": """", ""complement2"": """", ""numero_voie"": ""117 avenue du Prado"", ""service_distribution"": """", ""code_postal"": ""13008"", ""nom_commune"": ""Marseille"", ""pays"": ""France"", ""continent"": ""Europe"", ""longitude"": ""5.387524"", ""latitude"": ""43.280182""}]",13208,"[{""libelle"": """", ""valeur"": ""https://www.cmar-paca.fr/""}]"
